sep=;
Release Tag;API Item Type;API Item Name
public;interface;AbstractActionItemProps
public;interface;AbstractMenuItemProps
public;interface;AbstractToolbarProps
public;interface;ActionButton
public;enum;AlternateDateFormats
public;interface;ArrayValue
public;enum;BadgeType
public;interface;BaseDialogItem
public;interface;BasePropertyEditorParams
public;interface;BasePropertyValue
beta;class;BaseQuantityDescription
public;interface;ButtonGroupEditorParams
public;interface;ColorEditorParams
public;interface;CommandHandler
public;interface;CommonItemProps
public;type;CommonToolbarItem
public;class;ConditionalBooleanValue
public;class;ConditionalStringValue
public;interface;ContentLayoutProps
deprecated;interface;ContentLayoutProps
public;interface;CustomButtonDefinition
public;interface;CustomFormattedNumberParams
public;interface;DateFormatter
public;interface;DialogButtonDef
public;enum;DialogButtonStyle
public;enum;DialogButtonType
public;interface;DialogItem
public;interface;DialogItemValue
public;class;DialogLayoutDataProvider
public;class;DialogProperty
public;interface;DialogPropertyItem
public;interface;DialogPropertySyncItem
public;interface;DialogProps
public;interface;DialogRow
public;enum;DisplayMessageType
public;interface;EditorPosition
public;interface;EnumerationChoice
public;interface;EnumerationChoicesInfo
public;enum;FunctionKey
deprecated;enum;FunctionKey
public;class;GenericUiEvent
public;interface;GenericUiEventArgs
internal;const;getClassName
deprecated;const;getClassName
public;interface;GroupButton
public;interface;IconDefinition
public;interface;IconEditorParams
public;interface;IconListEditorParams
public;class;IconSpecUtilities
deprecated;class;IconSpecUtilities
public;interface;ImageCheckBoxParams
public;interface;IMatch
deprecated;interface;IMatch
public;interface;InputEditorSizeParams
public;function;isArrowKey
deprecated;function;isArrowKey
public;const;isButtonGroupEditorParams
public;const;isColorEditorParams
public;const;isCustomFormattedNumberParams
public;const;isIconListEditorParams
public;const;isInputEditorSizeParams
public;const;isSuppressLabelEditorParams
public;interface;LayoutFragmentProps
deprecated;interface;LayoutFragmentProps
public;interface;LayoutHorizontalSplitProps
deprecated;interface;LayoutHorizontalSplitProps
public;interface;LayoutSplitPropsBase
deprecated;interface;LayoutSplitPropsBase
public;interface;LayoutVerticalSplitProps
deprecated;interface;LayoutVerticalSplitProps
public;interface;LinkElementsInfo
internal;function;matchesWords
deprecated;function;matchesWords
public;interface;MessagePresenter
public;enum;MessageSeverity
public;interface;MultilineTextEditorParams
public;type;OnCancelFunc
public;type;OnItemExecutedFunc
public;type;OnNumberCommitFunc
public;type;OnValueCommitFunc
public;interface;ParseResults
public;interface;PointProps
deprecated;interface;PointProps
public;namespace;Primitives
public;interface;PrimitiveValue
public;interface;PropertyChangeResult
public;enum;PropertyChangeStatus
public;interface;PropertyConverterInfo
public;interface;PropertyDescription
public;class;PropertyDescriptionHelper
public;interface;PropertyEditorInfo
public;type;PropertyEditorParams
public;enum;PropertyEditorParamTypes
public;class;PropertyRecord
public;interface;PropertyRendererInfo
public;type;PropertyValue
public;enum;PropertyValueFormat
public;interface;RangeEditorParams
public;enum;RelativePosition
public;interface;SliderEditorParams
public;enum;SpecialKey
deprecated;enum;SpecialKey
public;class;StandardContentLayouts
deprecated;class;StandardContentLayouts
public;enum;StandardEditorNames
public;enum;StandardTypeNames
public;type;StringGetter
public;interface;StructValue
public;interface;SuppressLabelEditorParams
public;class;SyncPropertiesChangeEvent
public;interface;SyncPropertiesChangeEventArgs
public;enum;TimeDisplay
public;interface;ToolbarItem
internal;interface;ToolbarItemsChangedArgs
internal;class;ToolbarItemsManager
public;class;ToolbarItemUtilities
public;class;UiAdmin
public;class;UiDataProvider
public;class;UiError
deprecated;class;UiError
public;class;UiEvent
deprecated;class;UiEvent
public;class;UiEventDispatcher
deprecated;class;UiEventDispatcher
public;interface;UiFlags
public;class;UiLayoutDataProvider
public;class;UiSyncEvent
deprecated;class;UiSyncEvent
public;interface;UiSyncEventArgs
deprecated;interface;UiSyncEventArgs
