sep=;
Release Tag;API Item
internal;ActiveTabIdContext: React.Context
internal;addFloatingWidget(state: NineZoneState, id: FloatingWidgetState["id"], tabs: WidgetState["tabs"], floatingWidgetArgs?: Partial
internal;addPanelWidget(state: NineZoneState, side: PanelSide, id: WidgetState["id"], tabs: WidgetState["tabs"], widgetArgs?: Partial
internal;addPopoutWidget(state: NineZoneState, id: PopoutWidgetState["id"], tabs: WidgetState["tabs"], popoutWidgetArgs?: Partial
internal;addTab(state: NineZoneState, id: TabState["id"], tabArgs?: Partial
internal;addWidgetTabToFloatingPanel(state: NineZoneState, floatingWidgetId: string, widgetTabId: string, home: FloatingWidgetHomeState, preferredSize?: SizeProps, preferredPosition?: PointProps, userSized?: boolean, isFloatingStateWindowResizable?: boolean): NineZoneState
internal;AppButton 
internal;AppButtonProps 
internal;AppContent: React.NamedExoticComponent
internal;BackArrow 
internal;BackArrowProps 
internal;BackButton 
internal;BackButtonProps 
internal;Backstage 
internal;BackstageDefaultProps = Pick
internal;BackstageItem 
internal;BackstageItemProps 
internal;BackstageProps 
internal;BackstageSeparator 
internal;BackTarget 
internal;BackTargetProps 
internal;BottomPanelSide = "bottom"
internal;Cell 
internal;CellProps
internal;CenterContent: React.NamedExoticComponent
internal;CenterContentNodeContext: React.Context
internal;Columns 
internal;ColumnsProps 
alpha;contain: (componentBounds: RectangleProps, containerBounds: RectangleProps) => RectangleProps
deprecated;contain: (componentBounds: RectangleProps, containerBounds: RectangleProps) => RectangleProps
alpha;containHorizontally: (componentBounds: RectangleProps, containerBounds: RectangleProps) => RectangleProps
deprecated;containHorizontally: (componentBounds: RectangleProps, containerBounds: RectangleProps) => RectangleProps
alpha;containVertically: (componentBounds: RectangleProps, containerBounds: RectangleProps) => RectangleProps
deprecated;containVertically: (componentBounds: RectangleProps, containerBounds: RectangleProps) => RectangleProps
internal;ContentNodeContext: React.Context
internal;ContentZoneId = 5
internal;convertAllPopupWidgetContainersToFloating(state: NineZoneState): NineZoneState
internal;convertFloatingWidgetContainerToPopout(state: NineZoneState, widgetContainerId: string): NineZoneState
internal;convertPopoutWidgetContainerToFloating(state: NineZoneState, widgetContainerId: string): NineZoneState
internal;createDraggedTabState(tabId: DraggedTabState["tabId"], args?: Partial
internal;createFloatingWidgetState(id: FloatingWidgetState["id"], args?: Partial
internal;createHorizontalPanelState(side: HorizontalPanelSide, args?: Partial
internal;createNineZoneState(args?: Partial
internal;createPanelsState(args?: Partial
internal;createPanelState(side: PanelSide):
internal;createPopoutWidgetState(id: PopoutWidgetState["id"], args?: Partial
internal;createTabsState(args?: Partial
internal;createTabState(id: TabState["id"], args?: Partial
internal;createVerticalPanelState(side: VerticalPanelSide, args?: Partial
internal;createWidgetState(id: WidgetState["id"], tabs: WidgetState["tabs"], args?: Partial
internal;Css
internal;CssProperties
internal;CursorType = "nwse-resize" | "nesw-resize" | "ew-resize" | "ns-resize" | "grabbing"
internal;CursorTypeContext: React.Context
beta;Dialog 
beta;DialogProps 
beta;Direction
deprecated;Direction
internal;DirectionHelpers
internal;DisabledResizeHandles
internal;DisabledResizeHandlesHelpers
internal;Dock: React.NamedExoticComponent
internal;DockedToolSetting(props: ToolSettingProps): JSX.Element
internal;DockedToolSettings(props: DockedToolSettingsProps): JSX.Element
internal;DockedToolSettingsHandle: React.NamedExoticComponent
internal;DockedToolSettingsHandleProps 
internal;DockedToolSettingsOverflow: React.MemoExoticComponent
internal;DockedToolSettingsOverflowProps 
internal;DockedToolSettingsProps 
internal;DockedToolSettingsState
internal;dockWidgetContainer(state: NineZoneState, widgetTabId: string, idIsContainerId?: boolean): NineZoneState | undefined
internal;DraggedPanelSideContext: React.Context
internal;DraggedResizeHandleContext: React.Context
internal;DraggedTabContext: React.Context
internal;DraggedTabState
internal;DraggedTabStateContext: React.Context
internal;DraggedWidgetIdContext: React.Context
internal;DraggedWidgetManager
internal;DraggedWidgetManagerProps
internal;DragHandle 
internal;DragHandleProps 
internal;DragItemDragStartArgs
internal;DragManager
internal;DragManagerContext: React.Context
internal;DragProvider: React.NamedExoticComponent
internal;DragProviderProps
internal;DragTabDragStartArgs 
internal;DragTarget = TabTarget | PanelTarget_2 | WidgetTarget_2
internal;Ellipsis(props: CommonProps): JSX.Element
internal;eqlOverflown(prev: readonly string[] | undefined, value: readonly string[]): boolean
internal;Event
internal;EventEmitter
internal;EventHandler = (...args: any[]) => void
internal;ExpandableButton 
internal;ExpandableButtonProps 
beta;ExpandableItem 
deprecated;ExpandableItem 
beta;ExpandableItemProps 
deprecated;ExpandableItemProps 
internal;findTab(state: NineZoneState, id: TabState["id"]): TabLocation | undefined
internal;findWidget(state: NineZoneState, id: WidgetState["id"]): WidgetLocation | undefined
internal;FloatingTab(): JSX.Element
internal;FloatingWidget: React.NamedExoticComponent
internal;floatingWidgetBringToFront(state: Draft
internal;FloatingWidgetBringToFrontAction
internal;FloatingWidgetClearUserSizedAction
internal;floatingWidgetClearUserSizedFlag(state: Draft
internal;FloatingWidgetContext: React.Context
internal;FloatingWidgetHomeState
internal;FloatingWidgetIdContext: React.Context
internal;FloatingWidgetProps
internal;FloatingWidgetResizeAction
internal;FloatingWidgetResizeHandle = FloatingWidgetEdgeHandle | FloatingWidgetCornerHandle
internal;FloatingWidgets: React.NamedExoticComponent
internal;FloatingWidgetSendBackAction
internal;FloatingWidgetSetBoundsAction
internal;FloatingWidgetsState
internal;FloatingWidgetsStateContext: React.Context
internal;FloatingWidgetState
internal;floatWidget(state: NineZoneState, widgetTabId: string, point?: PointProps, size?: SizeProps): NineZoneState | undefined
internal;Footer 
deprecated;Footer 
beta;FooterIndicator(props: FooterIndicatorProps): JSX.Element
beta;FooterIndicatorProps 
beta;FooterPopup 
beta;FooterPopupContentType
beta;FooterPopupDefaultProps = Pick
beta;FooterPopupProps 
internal;FooterProps 
deprecated;FooterProps 
public;FooterSeparator 
public;FooterSeparatorProps 
internal;getChildKey(child: React.ReactNode, index: number): string
internal;getClosedWidgetTabIndex: (tabIndex: number) => number
internal;getColumnZones: (id: WidgetZoneId) => WidgetZoneId[]
internal;getCursorClassName(type: CursorType): string
internal;getDefaultAllowsMerging: (id: WidgetZoneId) => boolean
internal;getDefaultNineZoneStagePanelManagerProps: () => NineZoneStagePanelManagerProps
internal;getDefaultNineZoneStagePanelPaneManagerProps: () => NineZoneStagePanelPaneManagerProps
internal;getDefaultNineZoneStagePanelsManagerProps: () => NineZoneStagePanelsManagerProps
internal;getDefaultStagePanelManagerProps: () => StagePanelManagerProps
internal;getDefaultStagePanelsManagerProps: () => StagePanelsManagerProps
internal;getDefaultToolSettingsWidgetManagerProps: () => ToolSettingsWidgetManagerProps
internal;getDefaultWidgetHorizontalAnchor: (id: WidgetZoneId) => HorizontalAnchor
internal;getDefaultWidgetManagerProps: (id: WidgetZoneId) => WidgetManagerProps
internal;getDefaultWidgetVerticalAnchor: (id: WidgetZoneId) => VerticalAnchor.Bottom | VerticalAnchor.Middle
internal;getDefaultZoneManagerProps: (id: WidgetZoneId) => ZoneManagerProps
internal;getDefaultZonesManagerProps: () => ZonesManagerProps
internal;getDefaultZonesManagerWidgetsProps: () => ZonesManagerWidgetsProps
internal;getDefaultZonesManagerZonesProps: () => ZonesManagerZonesProps
internal;getDragDistance: (from: Point, to: Point, direction: Direction) => number
internal;getOverflown(width: number, docked: ReadonlyArray
internal;getResizeBy(handle: FloatingWidgetResizeHandle, offset: PointProps): Rectangle
internal;getToolbarDirection: (expandsTo: Direction) => OrthogonalDirection
internal;getToolbarItemProps: 
internal;getUniqueId(): string
internal;getWindowResizeSettings: (zoneId: WidgetZoneId) => ZoneWindowResizeSettings
internal;getZoneCell: (id: ZoneId) => Cell
internal;getZoneIdFromCell: (cell: CellProps) => WidgetZoneId
alpha;Group 
deprecated;Group 
alpha;GroupColumn 
deprecated;GroupColumn 
alpha;GroupColumnProps 
deprecated;GroupColumnProps 
alpha;GroupProps 
deprecated;GroupProps 
internal;GroupTool 
internal;GroupToolExpander 
internal;GroupToolExpanderProps 
internal;GroupToolProps 
internal;GrowBottom 
internal;GrowLeft 
internal;GrowRight 
internal;class GrowStrategy 
internal;GrowTop 
internal;HandleMode
internal;HandleModeHelpers
internal;handleToCursorType(handle: FloatingWidgetResizeHandle): CursorType
beta;HorizontalAnchor
deprecated;HorizontalAnchor
internal;HorizontalAnchorHelpers
internal;HorizontalPanelSide = TopPanelSide | BottomPanelSide
internal;HorizontalPanelState 
internal;initSizeAndPositionProps
internal;isFloatingLocation(location: TabLocation): location is FloatingLocation
internal;isFloatingWidgetLocation(location: WidgetLocation): location is FloatingLocation
internal;isHorizontalPanelSide: (side: PanelSide) => side is HorizontalPanelSide
internal;isHorizontalPanelState(state: PanelState): state is HorizontalPanelState
internal;isPanelLocation(location: TabLocation): location is PanelLocation
internal;isPopoutLocation(location: TabLocation): location is PopoutLocation
internal;isPopoutWidgetLocation(location: WidgetLocation): location is PopoutLocation
internal;isTabTarget(target: DragTarget): target is TabTarget
beta;Item 
deprecated;Item 
beta;ItemProps 
deprecated;ItemProps 
internal;Items 
internal;ItemsProps 
internal;LeftPanelSide = "left"
internal;MeasureContext: React.Context
internal;MergeTarget 
internal;MergeTargetProps 
internal;Message 
deprecated;Message 
internal;MessageButton 
internal;MessageButtonProps 
internal;MessageCenter 
internal;MessageCenterDialog 
internal;MessageCenterDialogProps 
internal;MessageCenterMessage 
internal;MessageCenterMessageProps 
internal;MessageCenterProps 
internal;MessageCenterTab 
internal;MessageCenterTabProps 
internal;MessageHyperlink 
internal;MessageHyperlinkProps 
internal;MessageLayout 
internal;MessageLayoutProps 
internal;MessageProgress 
internal;NavigationArea: React.NamedExoticComponent
internal;NavigationAreaProps 
internal;NestedGroup 
deprecated;NestedGroup 
internal;NestedGroupProps 
internal;NestedStagePanelKey
internal;NestedStagePanelsId
internal;NestedStagePanelsManager
internal;NestedStagePanelsManagerProps
internal;NineZone(props: NineZoneProps): JSX.Element
internal;NineZoneActionTypes = ResizeAction | PanelToggleCollapsedAction | PanelSetCollapsedAction | PanelSetSizeAction | PanelToggleSpanAction | PanelTogglePinnedAction | PanelInitializeAction | FloatingWidgetResizeAction | FloatingWidgetSetBoundsAction | FloatingWidgetBringToFrontAction | FloatingWidgetSendBackAction | FloatingWidgetClearUserSizedAction | PopoutWidgetSendBackAction | PanelWidgetDragStartAction | WidgetDragAction | WidgetDragEndAction | WidgetTabClickAction | WidgetTabDoubleClickAction | WidgetTabDragStartAction | WidgetTabDragAction | WidgetTabDragEndAction | WidgetTabPopoutAction | ToolSettingsDragStartAction | ToolSettingsDockAction
internal;NineZoneContext: React.Context
internal;NineZoneDispatch = (action: NineZoneActionTypes) => void
internal;NineZoneDispatchContext: React.Context
internal;NineZoneLabels
internal;NineZoneLabelsContext: React.Context
internal;NineZoneManager
internal;NineZoneManagerHiddenWidget
internal;NineZoneManagerHiddenWidgets =
internal;NineZoneManagerPanelTarget
internal;NineZoneManagerPaneTarget 
internal;NineZoneManagerProps
internal;NineZoneNestedStagePanelsManager 
internal;NineZoneNestedStagePanelsManagerProps 
internal;NineZoneProps
internal;NineZoneProvider(props: NineZoneProviderProps): JSX.Element
internal;NineZoneProviderProps 
internal;NineZoneStagePanelManager 
internal;NineZoneStagePanelManagerProps 
internal;NineZoneStagePanelPaneManager
internal;NineZoneStagePanelPaneManagerProps
internal;NineZoneStagePanelsManager 
internal;NineZoneStagePanelsManagerProps 
internal;NineZoneState
internal;NineZoneStateReducer: (state: NineZoneState, action: NineZoneActionTypes) => NineZoneState
internal;offsetAndContainInContainer: (tooltipBounds: RectangleProps, containerSize: SizeProps, offset?: PointProps) => Point
internal;onOverflowLabelAndEditorResize(): void
internal;OrthogonalDirection
deprecated;OrthogonalDirection
internal;OrthogonalDirectionHelpers
internal;Outline 
internal;OutlineProps 
internal;Overflow 
internal;OverflowProps 
alpha;Panel 
deprecated;Panel 
internal;PanelInitializeAction
alpha;PanelProps 
deprecated;PanelProps 
internal;PanelSetCollapsedAction
internal;PanelSetSizeAction
internal;PanelSide = VerticalPanelSide | HorizontalPanelSide
internal;PanelSideContext: React.Context
internal;panelSides: [LeftPanelSide, RightPanelSide, TopPanelSide, BottomPanelSide]
