sep=;
Release Tag;API Item
public;class AbstractTreeNodeLoader 
public;class AbstractTreeNodeLoaderWithProvider
public;ActionButtonList 
public;ActionButtonListProps
public;ActionButtonRenderer = (props: ActionButtonRendererProps) => React_2.ReactNode
public;ActionButtonRendererProps
internal;ActionItem({ item, addGroupSeparator }:
public;ActiveMatchInfo
public;adjustDateToTimezone(inDateTime: Date, utcOffset: number): Date
public;ArrayPropertyValueRenderer 
public;AsyncErrorMessage
public;AsyncValueProcessingResult
public;class BasePointTypeConverter 
public;BasicPropertyEditor 
beta;BeDragDropContext(props:
deprecated;BeDragDropContext(props:
public;BooleanEditor 
public;BooleanPropertyEditor 
public;BooleanTypeConverter 
beta;Breadcrumb 
deprecated;Breadcrumb 
beta;BreadcrumbDetails 
deprecated;BreadcrumbDetails 
beta;BreadcrumbDetailsProps 
deprecated;BreadcrumbDetailsProps 
internal;BreadcrumbInput 
internal;BreadcrumbInputProps
internal;BreadcrumbInputState
beta;BreadcrumbMode
deprecated;BreadcrumbMode
beta;BreadcrumbNode 
deprecated;BreadcrumbNode 
beta;BreadcrumbNodeProps
deprecated;BreadcrumbNodeProps
internal;BreadcrumbNodeRenderer = (props: BreadcrumbNodeProps, node?: TreeNodeItem, parent?: TreeNodeItem) => React_2.ReactNode
beta;BreadcrumbPath
deprecated;BreadcrumbPath
beta;BreadcrumbProps 
deprecated;BreadcrumbProps 
beta;BreadcrumbTreeUtils
deprecated;BreadcrumbTreeUtils
beta;BreadcrumbUpdateEvent 
deprecated;BreadcrumbUpdateEvent 
beta;BreadcrumbUpdateEventArgs
deprecated;BreadcrumbUpdateEventArgs
public;CategorizedPropertyItem 
public;CategorizedPropertyTypes = FlatGridItemType.Array | FlatGridItemType.Primitive | FlatGridItemType.Struct
public;CategoryRecordsDict
public;CellItem
deprecated;CellItem
public;CellProps
deprecated;CellProps
public;CheckBoxInfo
public;CheckboxStateChange
public;ColumnDescription
deprecated;ColumnDescription
public;ColumnFilterDescriptor 
deprecated;ColumnFilterDescriptor 
public;CommonPropertyGridProps 
public;CompletionObserver
public;CompositeFilterDescriptor 
deprecated;CompositeFilterDescriptor 
public;CompositeFilterDescriptorCollection
deprecated;CompositeFilterDescriptorCollection
public;CompositeFilterType
public;CompositePropertyDataFilterer 
public;CompositeTypeConverter 
public;computeVisibleNodes(model: TreeModel): VisibleTreeNodes
public;ControlledSelectableContent(props: ControlledSelectableContentProps): React_2.JSX.Element
public;ControlledSelectableContentProps
public;ControlledTree(props: ControlledTreeProps): React_2.JSX.Element
public;ControlledTreeProps 
public;ConvertedPrimitives
internal;convertPrimitiveRecordToString(record: PropertyRecord): string | Promise
internal;CustomItem({ item, addGroupSeparator }:
alpha;CustomNumberEditor 
alpha;CustomNumberPropertyEditor 
public;CustomToolbarItem 
public;DataController
public;class DataControllerBase 
internal;DataRowItem 
internal;DateField({ initialDate, onDateChange, readOnly, dateFormatter, timeDisplay, style, className }: DateFieldProps): React_2.JSX.Element
internal;DateFieldProps 
public;DateFormatOptions
alpha;DatePicker(props: DatePickerProps): React_2.JSX.Element
alpha;DatePickerPopupButton({ displayEditField, timeDisplay, selected, onDateChange, dateFormatter, buttonToolTip, fieldStyle, fieldClassName, style }: DatePickerPopupButtonProps): React_2.JSX.Element
alpha;DatePickerPopupButtonProps 
alpha;DatePickerProps
internal;DateTimeEditor 
internal;DateTimePropertyEditor 
public;DateTimeTypeConverter 
public;class DateTimeTypeConverterBase 
public;DEFAULT_LINKS_HANDLER: LinkElementsInfo
public;DelayLoadedTreeNodeItem 
public;Direction
internal;DirectionHelpers
public;DisplayValuePropertyDataFilterer 
public;DistinctValueCollection
deprecated;DistinctValueCollection
public;DistinctValuesFilterDescriptor 
deprecated;DistinctValuesFilterDescriptor 
public;DoublePropertyValueRenderer 
internal;DragAction
public;EditableTreeDataProvider 
public;EditorContainer 
public;EditorContainerProps 
public;EnumButtonGroupEditor 
public;EnumEditor 
public;EnumPropertyButtonGroupEditor 
public;EnumPropertyEditor 
public;EnumTypeConverter 
public;ErrorObserver
public;FavoritePropertiesRenderer
alpha;FavoritePropertyList(props: FavoritePropertyListProps): React_2.JSX.Element | null
alpha;FavoritePropertyListProps
public;FieldFilterDescriptor 
deprecated;FieldFilterDescriptor 
public;FilterableColumn
deprecated;FilterableColumn
public;FilterableTable
deprecated;FilterableTable
public;FilterCompositionLogicalOperator
deprecated;FilterCompositionLogicalOperator
public;FilterDescriptor
deprecated;FilterDescriptor
public;FilterDescriptorCollection 
deprecated;FilterDescriptorCollection 
public;class FilterDescriptorCollectionBase
deprecated;class FilterDescriptorCollectionBase
public;FilteredPropertyData 
public;FilteredType
public;FilteringInput 
public;FilteringInputProps 
public;FilteringInputStatus
public;FilteringPropertyDataProvider 
public;FilterOperator
deprecated;FilterOperator
public;FilterRenderer
deprecated;FilterRenderer
public;FlatGridItem = CategorizedPropertyItem | GridCategoryItem
public;FlatGridItemBase
public;FlatGridItemType
public;FloatTypeConverter 
internal;formatInputDate(inputDate: Date, timeDisplay?: TimeDisplay, customFormatter?: DateFormatter, alternateDateFormat?: AlternateDateFormats): string | undefined
public;from
beta;getPropertyFilterOperatorLabel(operator: PropertyFilterRuleOperator): string
beta;getPropertyFilterOperators(property: PropertyDescription): PropertyFilterRuleOperator[]
internal;getPropertyKey(propertyCategory: PropertyCategory, propertyRecord: PropertyRecord): string
internal;getPropertyRecordAsString(label: PropertyRecord): string
internal;getToolbarDirection: (expandsTo: Direction) => OrthogonalDirection
internal;getVisibleDescendants(model: TreeModel, parentNode: TreeModelNode | TreeModelRootNode, result?: Array
public;GridCategoryItem 
internal;GroupPopupItem({ item, addGroupSeparator }:
internal;handleLoadedNodeHierarchy(modelSource: TreeModelSource, loadedHierarchy: LoadedNodeHierarchy): void
public;hasChildren: (node: TreeNodeItem) => boolean
public;hasSelectionModeFlag: (selectionMode: SelectionMode_2, flag: SelectionModeFlags) => boolean
public;HexadecimalTypeConverter 
public;HighlightableTreeNodeProps
public;HighlightableTreeProps
public;HighlightedText(props: HighlightedTextProps): React_3.JSX.Element
public;HighlightedTextProps
public;HighlightInfo
public;HighlightingComponentProps
public;HighlightingEngine
alpha;IconEditor 
alpha;IconPickerButton 
deprecated;IconPickerButton 
alpha;IconPickerProps 
deprecated;IconPickerProps 
alpha;IconPropertyEditor 
public;IImageLoader
public;ImageCheckBoxEditor 
public;ImageCheckBoxPropertyEditor 
public;ImageFileFormat = "png" | "jpg" | "jpge"
public;ImageSourceType = "svg" | "url" | "binary" | "core-icon" | "webfont-icon"
public;ImmediatelyLoadedTreeNodeItem 
public;IMutableCategorizedPropertyItem 
public;IMutableFlatGridItem = IMutableCategorizedPropertyItem | IMutableGridCategoryItem
public;IMutableFlatPropertyGridItem
public;IMutableGridCategoryItem 
public;IMutableGridItemFactory
public;IMutablePropertyGridModel
internal;InputSwitchComponent 
internal;InputSwitchProps
alpha;IntlFormatter 
public;IntTypeConverter 
public;IPropertyDataFilterer
public;IPropertyDataProvider
public;IPropertyGridEventHandler
public;IPropertyGridModel
public;IPropertyGridModelSource
public;IPropertyValueRenderer
internal;isCustomToolbarItem(item: ToolbarItem): item is CustomToolbarItem
beta;isPropertyFilterRuleGroup(filter: PropertyFilter): filter is PropertyFilterRuleGroup
public;isTreeDataProviderInterface: (provider: TreeDataProvider) => provider is ITreeDataProvider
public;isTreeDataProviderMethod: (provider: TreeDataProvider) => provider is TreeDataProviderMethod
public;isTreeDataProviderPromise: (provider: TreeDataProvider) => provider is TreeDataProviderPromise
public;isTreeDataProviderRaw: (provider: TreeDataProvider) => provider is TreeDataProviderRaw
public;isTreeModelNode(obj: TreeModelNodeType | undefined): obj is TreeModelNode
public;isTreeModelNodePlaceholder(obj: TreeModelNodeType | undefined): obj is TreeModelNodePlaceholder
public;isTreeModelRootNode(obj: TreeModelNodeType | undefined): obj is TreeModelRootNode
beta;isUnaryPropertyFilterOperator(operator: PropertyFilterRuleOperator): boolean
public;ItemColorOverrides
public;ItemStyle
public;ItemStyleProvider:
public;ITreeDataProvider
public;ITreeImageLoader 
public;ITreeNodeLoader
public;ITreeNodeLoaderWithProvider
public;LabelPropertyDataFilterer 
public;LessGreaterOperatorProcessor
public;LinksRenderer(props: LinksRendererProps): React_2.JSX.Element
public;LinksRendererProps
public;LoadedBinaryImage 
public;LoadedImage
public;LoadedNodeHierarchy
public;LoadedNodeHierarchyItem
public;MergedPropertyValueRenderer 
internal;MultilineTextPropertyValueRenderer 
internal;MultilineTextRenderer: React_2.FC
internal;MultiSelectionHandler
public;MutableCategorizedArrayProperty 
public;MutableCategorizedPrimitiveProperty 
public;class MutableCategorizedProperty 
public;MutableCategorizedStructProperty 
public;MutableCheckBoxInfo 
public;class MutableFlatPropertyGridItem 
public;MutableGridCategory 
public;MutableGridItemFactory 
public;MutablePropertyGridModel 
public;MutableTableDataProvider 
deprecated;MutableTableDataProvider 
beta;MutableTreeDataProvider 
deprecated;MutableTreeDataProvider 
public;MutableTreeModel 
public;MutableTreeModelNode 
public;NavigationPropertyTypeConverter 
public;NavigationPropertyValueRenderer 
public;NextObserver
public;NonPrimitivePropertyLabelRenderer 
public;NonPrimitivePropertyLabelRendererProps 
public;NonPrimitivePropertyRenderer 
public;NonPrimitivePropertyRendererProps 
public;NullableOperatorProcessor
public;NumericInputEditor 
public;NumericInputPropertyEditor 
public;class NumericTypeConverterBase 
public;Observable
public;Observer
public;OnItemsDeselectedCallback
public;OnItemsSelectedCallback
public;OnSelectionChanged = (shiftDown?: boolean, ctrlDown?: boolean) => void
public;OperatorProcessor
public;OperatorValueFilterDescriptor 
deprecated;OperatorValueFilterDescriptor 
public;OperatorValueFilterDescriptorCollection 
deprecated;OperatorValueFilterDescriptorCollection 
alpha;OrthogonalDirection
internal;OrthogonalDirectionHelpers
public;PagedTreeNodeLoader
public;PageOptions
public;ParsedInput: (props: ParsedInputProps) => React_2.ReactElement | null
public;ParsedInputProps 
public;Point2dTypeConverter 
public;Point3dTypeConverter 
public;PopupItem(props: PopupItemProps): React_2.JSX.Element
internal;PopupItemPopup(props: PopupItemPopupProps): React_2.JSX.Element
public;PopupItemProps 
public;PopupItemWithDrag(props: PopupItemWithDragProps): React_2.JSX.Element
public;PopupItemWithDragProps 
public;PrimitivePropertyLabelRenderer 
public;PrimitivePropertyLabelRendererProps 
public;PrimitivePropertyRenderer 
public;PrimitivePropertyValueRenderer 
internal;PrimitivePropertyValueRendererImpl(props: PrimitivePropertyValueRendererImplProps): React_2.JSX.Element
public;PrimitiveRendererProps 
public;PropertyCategory
public;PropertyCategoryBlock 
public;PropertyCategoryBlockProps 
public;class PropertyCategoryDataFiltererBase 
public;PropertyCategoryLabelFilterer 
public;PropertyCategoryRenderer = (categoryItem: GridCategoryItem) => React_2.ComponentType
public;PropertyCategoryRendererManager
public;PropertyCategoryRendererProps
public;PropertyContainerType
public;PropertyData
public;PropertyDataChangeEvent 
public;PropertyDataChangesListener = () => void
public;class PropertyDataFiltererBase 
public;PropertyDataFilterResult
public;PropertyDialogState
public;PropertyEditingArgs
public;class PropertyEditorBase 
public;PropertyEditorManager
public;PropertyEditorProps 
beta;PropertyFilter = PropertyFilterRule | PropertyFilterRuleGroup
beta;PropertyFilterBuilder(props: PropertyFilterBuilderProps): React_2.JSX.Element
beta;PropertyFilterBuilderProps
public;PropertyFilterChangeEvent 
public;PropertyFilterChangesListener = () => void
beta;PropertyFilterRule
beta;PropertyFilterRuleGroup
beta;PropertyFilterRuleGroupOperator
beta;PropertyFilterRuleOperator
public;PropertyGrid 
deprecated;PropertyGrid 
public;PropertyGridCategory
deprecated;PropertyGridCategory
internal;PropertyGridCommons
public;PropertyGridContextMenuArgs
public;PropertyGridEventHandler
internal;PropertyGridEventsRelatedProps = Pick
internal;PropertyGridEventsRelatedPropsSupplier 
internal;PropertyGridEventsRelatedPropsSupplierProps = Pick
internal;PropertyGridInternalContext
public;PropertyGridModelChangeEvent 
public;PropertyGridModelChangeListener = () => void
public;PropertyGridModelSource 
public;PropertyGridProps 
deprecated;PropertyGridProps 
internal;PropertyLabelRenderer 
public;PropertyLabelRendererProps
public;PropertyList 
public;PropertyListProps 
public;PropertyPopupState
public;class PropertyRecordDataFiltererBase 
public;PropertyRenderer 
public;PropertyRendererProps 
public;PropertyUpdatedArgs
public;PropertyValueRendererContext
public;PropertyValueRendererManager
public;PropertyView 
