sep=;
Release Tag;API Item Type;API Item Name
public;interface;AcquireNewBriefcaseIdArg
public;class;AnnotationElement2d
preview;class;AnnotationElement2d
beta;class;AnnotationTextStyle
beta;type;AnyDb
beta;function;appendFrameToBuilder
beta;function;appendLeadersToBuilder
beta;function;appendTextAnnotationGeometry
beta;interface;AppendTextAnnotationGeometryArgs
public;class;AuxCoordSystem
preview;class;AuxCoordSystem
public;class;AuxCoordSystem2d
preview;class;AuxCoordSystem2d
public;class;AuxCoordSystem3d
preview;class;AuxCoordSystem3d
public;class;AuxCoordSystemSpatial
preview;class;AuxCoordSystemSpatial
beta;interface;AvailableCoordinateReferenceSystemProps
beta;interface;AzureBlobStorageCredentials
public;interface;BackendHubAccess
public;enum;BackendLoggerCategory
public;type;BindParameter
public;class;BisCoreSchema
beta;namespace;BlobContainer
public;class;BriefcaseDb
public;interface;BriefcaseDbArg
public;interface;BriefcaseIdArg
internal;enum;BriefcaseLocalValue
public;class;BriefcaseManager
public;class;Callout
beta;interface;CatalogDb
beta;namespace;CatalogDb
internal;class;CatalogIModelHandler
public;class;Category
preview;class;Category
public;class;CategoryOwnsSubCategories
public;class;CategorySelector
preview;class;CategorySelector
beta;interface;ChangedECInstance
internal;class;ChangedElementsDb
beta;interface;ChangeFormatArgs
beta;interface;ChangeInstanceKey
beta;interface;ChangeMetaData
public;interface;ChangesetArg
beta;class;ChangesetECAdaptor
internal;interface;ChangesetIndexArg
public;interface;ChangesetRangeArg
beta;interface;ChangeSummary
beta;class;ChangeSummaryManager
beta;interface;ChannelControl
beta;namespace;ChannelControl
beta;type;ChannelKey
public;class;ChannelRootAspect
preview;class;ChannelRootAspect
beta;interface;ChannelUpgradeContext
beta;interface;ChannelUpgradeOptions
internal;class;CheckpointManager
public;interface;CheckpointProps
public;class;ClassRegistry
beta;interface;ClearCachesOptions
public;interface;CloseImodelArgs
public;interface;CloudContainerArgs
beta;namespace;CloudSqlite
internal;interface;BcvHttpLog
internal;interface;BcvHttpLogFilterOptions
internal;interface;BcvStats
internal;interface;BcvStatsFilterOptions
internal;interface;LockAndOpenArgs
internal;function;transferDb
alpha;interface;CodeService
alpha;namespace;CodeService
internal;interface;BisCodeSpecIndexProps
internal;interface;FontIndexProps
public;class;CodeSpecs
preview;class;CodeSpecs
public;interface;ComputedProjectExtents
beta;function;computeElbowDirection
beta;function;computeFrame
beta;interface;ComputeFrameArgs
beta;function;computeGraphemeOffsets
beta;interface;ComputeGraphemeOffsetsArgs
beta;function;computeIntervalPoints
beta;interface;ComputeIntervalPointsArgs
beta;function;computeLayoutTextBlockResult
beta;function;computeLeaderAttachmentPoint
public;interface;ComputeProjectExtentsOptions
internal;type;ComputeRangesForTextLayout
internal;interface;ComputeRangesForTextLayoutArgs
alpha;type;ConcreteEntity
alpha;type;ConcreteEntityProps
beta;function;convertEC2SchemasToEC3Schemas
internal;interface;CrashReportingConfig
internal;interface;CrashReportingConfigNameValuePair
beta;interface;CreateChangeSummaryArgs
alpha;interface;CreateFontFileFromRscBlobArgs
beta;interface;CreateFontFileFromShxBlobArgs
public;interface;CreateNewIModelProps
beta;interface;CreateNewWorkspaceContainerArgs
beta;interface;CreateNewWorkspaceDbVersionArgs
public;interface;CreateSheetViewDefinitionArgs
beta;function;createTerminatorGeometry
beta;interface;CustomHandledProperty
beta;interface;DataTransformationResources
beta;enum;DataTransformationStrategy
public;class;DefinitionContainer
preview;class;DefinitionContainer
public;class;DefinitionElement
preview;class;DefinitionElement
public;class;DefinitionGroup
preview;class;DefinitionGroup
public;class;DefinitionGroupGroupsDefinitions
public;class;DefinitionModel
preview;class;DefinitionModel
public;class;DefinitionPartition
preview;class;DefinitionPartition
public;class;DefinitionSet
preview;class;DefinitionSet
beta;function;deleteElementSubTrees
beta;function;deleteElementTree
beta;function;deleteElementTree
beta;interface;DeleteElementTreeArgs
beta;interface;DeserializeEntityArgs
public;class;DetailCallout
public;class;DetailingSymbol
internal;class;DevTools
internal;interface;DevToolsOsStats
internal;interface;DevToolsProcessStats
internal;interface;DevToolsStats
internal;class;DevToolsStatsFormatter
public;class;DictionaryModel
preview;class;DictionaryModel
public;class;DisplayStyle
preview;class;DisplayStyle
public;class;DisplayStyle2d
preview;class;DisplayStyle2d
public;class;DisplayStyle3d
preview;class;DisplayStyle3d
public;interface;DisplayStyleCreationOptions
preview;interface;DisplayStyleCreationOptions
public;class;DocumentListModel
preview;class;DocumentListModel
public;class;DocumentPartition
preview;class;DocumentPartition
public;interface;DownloadChangesetArg
public;interface;DownloadChangesetRangeArg
internal;interface;DownloadJob
public;interface;DownloadProgressArg
internal;interface;DownloadRequest
internal;class;Downloads
public;class;Drawing
preview;class;Drawing
public;class;DrawingCategory
preview;class;DrawingCategory
public;class;DrawingGraphic
preview;class;DrawingGraphic
public;class;DrawingGraphicRepresentsElement
public;class;DrawingGraphicRepresentsFunctionalElement
public;class;DrawingModel
preview;class;DrawingModel
public;class;DrawingViewDefinition
preview;class;DrawingViewDefinition
beta;class;DriverBundleElement
beta;interface;ECChangeUnifierCache
beta;namespace;ECChangeUnifierCache
public;class;ECDb
public;enum;ECDbOpenMode
public;interface;ECEnumValue
deprecated;interface;ECEnumValue
public;class;ECSchemaXmlContext
preview;class;ECSchemaXmlContext
public;class;ECSqlBinder
public;interface;ECSqlColumnInfo
deprecated;interface;ECSqlColumnInfo
public;class;ECSqlInsertResult
beta;interface;ECSqlRow
public;interface;ECSqlRowArg
public;class;ECSqlStatement
deprecated;class;ECSqlStatement
public;class;ECSqlValue
deprecated;class;ECSqlValue
public;class;ECSqlValueIterator
deprecated;class;ECSqlValueIterator
public;class;ECSqlWriteStatement
beta;interface;EditableCatalogDb
beta;interface;EditableWorkspaceContainer
beta;interface;EditableWorkspaceDb
public;class;ElementAspect
preview;class;ElementAspect
beta;class;ElementDrivesElement
beta;interface;ElementDrivesElementProps
beta;class;ElementDrivesTextAnnotation
public;class;ElementEncapsulatesElements
public;class;ElementGroupsMembers
public;interface;ElementGroupsMembersProps
public;class;ElementMultiAspect
preview;class;ElementMultiAspect
public;class;ElementOwnsChannelRootAspect
public;class;ElementOwnsChildElements
public;class;ElementOwnsExternalSourceAspects
