sep=;
Release Tag;API Item Type;API Item Name
beta;class;AbandonedError
public;type;AccessToken
public;function;areEqualPossiblyUndefined
public;function;asInstanceOf
public;function;assert
public;type;AsyncFunction
public;type;AsyncMethodsOf
public;function;base64StringToUint8Array
public;class;BeDuration
public;class;BeEvent
public;class;BeEventList
public;class;BentleyError
public;enum;BentleyLoggerCategory
public;enum;BentleyStatus
public;class;BeTimePoint
public;class;BeUiEvent
public;enum;BriefcaseStatus
public;class;ByteStream
public;enum;ChangeSetStatus
public;type;CloneFunction
public;function;compareBooleans
public;function;compareBooleansOrUndefined
public;function;compareNumbers
public;function;compareNumbersOrUndefined
public;function;comparePossiblyUndefined
public;function;compareStrings
public;function;compareStringsOrUndefined
public;function;compareWithTolerance
public;type;CompressedId64Set
public;namespace;CompressedId64Set
public;type;ComputePriorityFunction
public;type;Constructor
internal;enum;DbChangeStage
internal;enum;DbConflictCause
internal;enum;DbConflictResolution
public;enum;DbOpcode
public;enum;DbResult
internal;enum;DbValueType
public;class;Dictionary
public;interface;DictionaryEntry
public;class;DisposableList
public;function;dispose
public;function;disposeArray
public;type;DisposeFunc
public;enum;DuplicatePolicy
public;class;Entry
public;interface;EntryContainer
alpha;class;ErrorCategory
public;enum;GeoServiceStatus
public;type;GetMetaDataFunction
public;namespace;Guid
public;type;GuidString
beta;enum;HttpStatus
public;namespace;Id64
public;type;Id64Arg
public;type;Id64Array
public;type;Id64Set
public;type;Id64String
public;interface;IDisposable
public;enum;IModelHubStatus
public;enum;IModelStatus
public;class;IndexedValue
public;class;IndexMap
public;function;isIDisposable
public;function;isInstanceOf
public;function;isProperSubclassOf
public;function;isSubclassOf
public;interface;JSONSchema
public;interface;JSONSchemaMap
public;interface;JSONSchemaSnippet
public;type;JSONSchemaType
public;type;JSONSchemaTypeName
public;namespace;JsonUtils
public;type;Listener
public;type;ListenerType
public;type;LogFunction
public;class;Logger
public;interface;LoggerCategoryAndLevel
public;interface;LoggerLevelsConfig
public;type;LoggingMetaData
public;enum;LogLevel
public;function;lowerBound
public;class;LRUCache
public;class;LRUDictionary
public;class;LRUMap
public;type;MarkRequired
public;type;Mutable
public;class;MutableCompressedId64Set
public;type;NonFunctionPropertiesOf
public;type;NonFunctionPropertyNamesOf
public;class;ObservableSet
public;function;omit
beta;class;OneAtATimeAction
public;type;OnUnexpectedError
public;enum;OpenMode
public;type;Optional
public;type;OrderedComparator
public;class;OrderedId64Array
public;type;OrderedId64Iterable
public;namespace;OrderedId64Iterable
public;class;OrderedSet
public;function;partitionArray
public;class;PerfLogger
public;type;PickAsyncMethods
public;type;PickMethods
public;type;PickSyncMethods
public;class;PriorityQueue
public;class;ProcessDetector
public;type;PromiseReturnType
public;class;ReadonlyOrderedSet
public;class;ReadonlySortedArray
alpha;enum;RealityDataStatus
public;type;RemapTransientLocalId
internal;enum;RepositoryStatus
public;type;RequireAtLeastOne
beta;enum;RpcInterfaceStatus
public;function;shallowClone
public;class;SortedArray
public;enum;SpanKind
deprecated;enum;SpanKind
internal;const;staticLoggerMetadata
alpha;class;StatusCategory
alpha;type;StatusCategoryHandler
public;class;StopWatch
alpha;class;SuccessCategory
public;class;Tracing
deprecated;class;Tracing
public;class;TransientIdSequence
public;interface;TransientIdSequenceProps
public;class;TupleKeyedMap
public;class;TypedArrayBuilder
public;interface;TypedArrayBuilderOptions
public;class;Uint16ArrayBuilder
public;class;Uint32ArrayBuilder
public;class;Uint8ArrayBuilder
public;type;UintArray
public;class;UintArrayBuilder
public;interface;UintArrayBuilderOptions
public;class;UnexpectedErrors
public;function;using
public;function;utf8ToString
public;class;YieldManager
public;interface;YieldManagerOptions
