sep=;
Release Tag;API Item Type;API Item Name
public;class;AdditionalTransform
public;interface;AdditionalTransformProps
public;class;AffineTransform
public;interface;AffineTransformProps
internal;const;aggregateLoad
public;class;AmbientLight
public;interface;AmbientLightProps
public;namespace;AmbientOcclusion
public;class;AnalysisStyle
public;class;AnalysisStyleDisplacement
public;interface;AnalysisStyleDisplacementProps
public;interface;AnalysisStyleProps
public;class;AnalysisStyleThematic
public;interface;AnalysisStyleThematicProps
public;interface;AppearanceOverrideProps
beta;interface;ApplyTextStyleOptions
public;interface;AreaFillProps
public;namespace;AreaPattern
beta;namespace;Atmosphere
internal;class;Wavelengths
internal;interface;WavelengthsProps
public;interface;AuthorizationClient
public;interface;AuxCoordSystem2dProps
public;interface;AuxCoordSystem3dProps
public;interface;AuxCoordSystemProps
public;type;AxisAlignedBox3d
public;type;AxisAlignedBox3dProps
internal;class;B3dmHeader
internal;type;BackendBuffer
deprecated;type;BackendBuffer
public;class;BackendError
public;type;BackendReadable
deprecated;type;BackendReadable
public;type;BackendWritable
deprecated;type;BackendWritable
public;enum;BackgroundFill
public;interface;BackgroundMapProps
public;class;BackgroundMapProvider
public;type;BackgroundMapProviderName
public;interface;BackgroundMapProviderProps
public;class;BackgroundMapSettings
public;enum;BackgroundMapType
public;type;Base64EncodedString
public;namespace;Base64EncodedString
public;type;BaseLayerProps
public;type;BaseLayerSettings
public;namespace;BaseLayerSettings
beta;type;BaselineShift
public;interface;BaseMapLayerProps
public;class;BaseMapLayerSettings
public;interface;BaseReaderOptions
public;interface;BasicPlanarClipMaskArgs
public;enum;BatchType
beta;class;BentleyCloudRpcConfiguration
beta;class;BentleyCloudRpcManager
beta;interface;BentleyCloudRpcParams
internal;class;BentleyCloudRpcProtocol
public;enum;BisCodeSpec
internal;function;bisectTileRange2d
internal;function;bisectTileRange3d
beta;interface;BlobOptions
beta;class;BlobOptionsBuilder
beta;type;BlobRange
public;class;BoundingSphere
alpha;interface;BRepCutProps
public;namespace;BRepEntity
alpha;interface;BRepGeometryCreate
alpha;type;BRepGeometryFunction
alpha;interface;BRepGeometryInfo
alpha;enum;BRepGeometryOperation
alpha;interface;BRepHollowProps
alpha;interface;BRepOffsetProps
public;interface;BRepPrimitive
alpha;interface;BRepRoundProps
alpha;interface;BRepThickenProps
public;interface;BriefcaseDownloader
public;type;BriefcaseId
public;enum;BriefcaseIdValue
public;interface;BriefcaseProps
public;function;calculateSolarAngles
public;function;calculateSolarDirection
public;function;calculateSolarDirectionFromAngles
public;function;calculateSunriseOrSunset
public;interface;CalloutProps
public;class;Camera
public;interface;CameraProps
public;class;Carto2DDegrees
public;interface;Carto2DDegreesProps
public;class;Cartographic
public;interface;CartographicProps
public;class;CartographicRange
public;interface;CategoryProps
public;interface;CategorySelectorProps
public;enum;CesiumTerrainAssetId
internal;interface;ChangeData
public;interface;ChangedElements
public;interface;ChangedEntities
internal;interface;ChangedModels
public;enum;ChangedValueState
public;enum;ChangeOpCode
internal;interface;ChangesetFileProps
public;type;ChangesetId
public;interface;ChangesetIdWithIndex
public;type;ChangesetIndex
public;interface;ChangesetIndexAndId
public;type;ChangesetIndexOrId
public;interface;ChangesetProps
public;interface;ChangesetRange
public;enum;ChangesetType
public;interface;ChannelRootAspectProps
internal;interface;ClassifierTileTreeId
public;class;ClipIntersectionStyle
public;interface;ClipIntersectionStyleProps
public;class;ClipStyle
public;interface;ClipStyleCreateArgs
public;interface;ClipStyleProps
beta;interface;CloudContainerUri
public;class;Code
public;interface;CodeProps
public;type;CodeScopeProps
public;namespace;CodeScopeSpec
public;class;CodeSpec
public;interface;CodeSpecProperties
public;const;ColorByName
public;class;ColorDef
public;type;ColorDefProps
public;class;ColorIndex
public;enum;CommonLoggerCategory
public;interface;CommonMapLayerProps
internal;function;compareIModelTileTreeIds
internal;class;CompositeTileHeader
internal;function;computeChildTileProps
internal;function;computeChildTileRanges
alpha;type;ComputeNodeId
internal;function;computeTileChordTolerance
alpha;enum;ConcreteEntityTypes
alpha;namespace;ConcreteEntityTypes
internal;function;toBisCoreRootClassFullName
public;interface;ConflictingLock
public;class;ConflictingLocksError
alpha;enum;ContentFlags
internal;class;ContentIdProvider
public;class;ContextRealityModel
public;interface;ContextRealityModelProps
public;namespace;ContextRealityModelProps
public;class;ContextRealityModels
public;interface;ContextRealityModelsArgs
public;interface;ContextRealityModelsContainer
public;type;CreateEmptySnapshotIModelProps
internal;type;CreateEmptyStandaloneIModelProps
public;interface;CreateIModelProps
public;interface;CreateSnapshotIModelProps
internal;interface;CreateStandaloneIModelProps
internal;const;CURRENT_INVOCATION
internal;const;CURRENT_REQUEST
internal;enum;CurrentImdlVersion
beta;interface;CustomAttribute
internal;interface;CustomViewState3dCreatorOptions
internal;interface;CustomViewState3dProps
public;class;CutStyle
public;interface;CutStyleProps
public;type;DanishSystem34Region
internal;interface;DbBlobRequest
internal;interface;DbBlobResponse
internal;interface;DbQueryConfig
public;class;DbQueryError
internal;interface;DbQueryRequest
internal;interface;DbQueryResponse
internal;interface;DbRequest
internal;interface;DbRequestExecutor
internal;enum;DbRequestKind
internal;interface;DbResponse
internal;enum;DbResponseKind
internal;enum;DbResponseStatus
beta;interface;DbRuntimeStats
internal;enum;DbValueFormat
internal;function;decodeTileContentDescription
internal;interface;DecodeTileContentDescriptionArgs
internal;interface;DecorationGeometryProps
beta;enum;DefaultSupportedTypes
internal;const;defaultTileOptions
public;interface;DefinitionElementProps
public;interface;DeletedElementGeometryChange
public;interface;DeprecatedBackgroundMapProps
internal;class;DevToolsRpcInterface
internal;enum;DevToolsStatsOptions
public;interface;DisplayStyle3dProps
public;class;DisplayStyle3dSettings
public;interface;DisplayStyle3dSettingsProps
public;interface;DisplayStyleLoadProps
public;interface;DisplayStyleModelAppearanceProps
public;interface;DisplayStyleOverridesOptions
public;interface;DisplayStylePlanarClipMaskProps
public;interface;DisplayStyleProps
beta;interface;DisplayStyleRealityModelDisplayProps
public;class;DisplayStyleSettings
public;interface;DisplayStyleSettingsOptions
public;interface;DisplayStyleSettingsProps
public;interface;DisplayStyleSubCategoryProps
beta;enum;DomainOptions
public;interface;DynamicGraphicsRequest2dProps
public;interface;DynamicGraphicsRequest3dProps
public;interface;DynamicGraphicsRequestProps
public;const;Easing
public;type;EasingFunction
public;class;EcefLocation
public;interface;EcefLocationProps
public;class;ECJsNames
public;interface;ECSchemaItemProps
public;interface;ECSchemaProps
public;interface;ECSchemaReferenceProps
public;class;ECSqlReader
public;enum;ECSqlSystemProperty
public;enum;ECSqlValueType
internal;class;EdgeArgs
internal;interface;EdgeOptions
internal;interface;EditingScopeNotifications
public;type;ElementAlignedBox2d
public;type;ElementAlignedBox3d
public;interface;ElementAspectProps
beta;namespace;ElementGeometry
public;interface;ElementGeometryBuilderParams
public;interface;ElementGeometryBuilderParamsForPart
beta;interface;ElementGeometryCacheOperationRequestProps
beta;interface;ElementGeometryCacheRequestProps
beta;interface;ElementGeometryCacheResponseProps
public;type;ElementGeometryChange
public;namespace;ElementGeometryChange
public;interface;ElementGeometryDataEntry
beta;type;ElementGeometryFunction
beta;interface;ElementGeometryInfo
public;enum;ElementGeometryOpcode
beta;interface;ElementGeometryRequest
public;type;ElementGraphicsRequestProps
public;interface;ElementIdsAndRangesProps
public;interface;ElementLoadOptions
public;interface;ElementLoadProps
beta;interface;ElementMeshOptions
beta;interface;ElementMeshRequestProps
public;interface;ElementPlanarClipMaskArgs
public;interface;ElementProps
public;interface;EmphasizeElementsProps
public;class;EmptyLocalization
public;interface;EntityIdAndClassId
public;type;EntityIdAndClassIdIterable
beta;class;EntityMetaData
beta;interface;EntityMetaDataProps
public;interface;EntityProps
public;interface;EntityQueryParams
alpha;type;EntityReference
alpha;class;EntityReferenceSet
public;class;Environment
public;type;EnvironmentProperties
public;interface;EnvironmentProps
public;interface;ExtantElementGeometryChange
public;interface;ExternalSourceAspectProps
beta;interface;ExternalSourceAttachmentProps
beta;enum;ExternalSourceAttachmentRole
beta;interface;ExternalSourceProps
public;class;Feature
public;class;FeatureAppearance
public;interface;FeatureAppearanceProps
public;interface;FeatureAppearanceProvider
public;namespace;FeatureAppearanceProvider
public;interface;FeatureAppearanceSource
public;class;FeatureIndex
public;enum;FeatureIndexType
public;class;FeatureOverrides
public;enum;FeatureOverrideType
public;class;FeatureTable
internal;class;FeatureTableHeader
