sep=;
Release Tag;API Item Type;API Item Name
public;class;AccuDraw
beta;class;AccuDrawChangeModeTool
internal;class;AccudrawData
internal;enum;AccuDrawFlags
public;class;AccuDrawHintBuilder
beta;class;AccuDrawRotate90AboutXTool
beta;class;AccuDrawRotate90AboutYTool
beta;class;AccuDrawRotate90AboutZTool
beta;class;AccuDrawRotateAxesTool
beta;class;AccuDrawRotateCycleTool
beta;class;AccuDrawRotateElementTool
beta;class;AccuDrawRotateFrontTool
beta;class;AccuDrawRotateSideTool
beta;class;AccuDrawRotateTopTool
beta;class;AccuDrawRotateViewTool
beta;class;AccuDrawSessionToggleTool
beta;class;AccuDrawSetLockAngleTool
beta;class;AccuDrawSetLockDistanceTool
beta;class;AccuDrawSetLockIndexTool
beta;class;AccuDrawSetLockSmartTool
beta;class;AccuDrawSetLockXTool
beta;class;AccuDrawSetLockYTool
beta;class;AccuDrawSetLockZTool
beta;class;AccuDrawSetOriginTool
beta;class;AccuDrawShortcuts
beta;class;AccuDrawSuspendToggleTool
beta;class;AccuDrawViewportUI
public;class;AccuSnap
public;namespace;AccuSnap
internal;function;acquireImdlDecoder
public;enum;ACSDisplayOptions
public;enum;ACSType
alpha;type;ActivationEvent
public;type;ActiveSpatialClassifier
public;class;ActivityMessageDetails
public;enum;ActivityMessageEndReason
internal;class;AlternateUnitLabelsRegistry
beta;class;AngleDescription
internal;enum;AnimationNodeId
public;interface;Animator
internal;function;appendQueryParams
internal;enum;ArcGisErrorCode
internal;class;ArcGisGeometryReaderJSON
internal;interface;ArcGisGetServiceJsonArgs
internal;class;ArcGISImageryProvider
internal;interface;ArcGISServiceMetadata
internal;class;ArcGisUtilities
internal;interface;ArcGisValidateSourceArgs
internal;function;areaToEyeHeight
internal;function;areaToEyeHeightFromGcs
public;type;AttachToViewportArgs
public;class;AuxCoordSystem2dState
public;class;AuxCoordSystem3dState
public;class;AuxCoordSystemSpatialState
public;class;AuxCoordSystemState
internal;class;BackgroundMapGeometry
beta;class;BaseUnitFormattingSettingsProvider
public;interface;BatchOptions
beta;interface;BatchTableProperties
public;enum;BeButton
public;class;BeButtonEvent
public;interface;BeButtonEventProps
public;class;BeButtonState
public;enum;BeModifierKeys
public;class;BeTouchEvent
public;interface;BeTouchEventProps
public;class;BeWheelEvent
public;interface;BeWheelEventProps
public;class;BingElevationProvider
public;class;BingLocationProvider
public;class;BlankConnection
public;interface;BlankConnectionProps
public;class;BriefcaseConnection
beta;class;BriefcaseEditorToolSettings
public;class;BriefcaseNotificationHandler
public;class;BriefcaseTxns
internal;type;CachedDecoration
internal;interface;CachedIModelCoordinatesResponseProps
public;function;calculateEcefToDbTransformAtLocation
internal;const;_callIpcChannel
public;interface;CanvasDecoration
public;type;CanvasDecorationList
public;function;canvasToImageBuffer
public;function;canvasToResizedCanvasWithBars
beta;interface;CatalogConnection
beta;namespace;CatalogConnection
public;class;CategorySelectorState
public;enum;ChangeFlag
public;class;ChangeFlags
public;interface;ChangeViewedModel2dOptions
public;interface;CheckboxFormatPropEditorSpec
public;class;CheckpointConnection
public;enum;ClipEventType
public;class;Cluster
internal;function;collectMaskRefs
public;type;CollectTileStatus
public;enum;CompassMode
public;interface;ComputeChordToleranceArgs
beta;interface;ComputeDisplayTransformArgs
beta;interface;ComputeGraphicDescriptionChordToleranceArgs
public;interface;ComputeSpatialViewFitRangeOptions
public;function;connectViewportFrusta
public;function;connectViewports
public;function;connectViewportViews
internal;enum;ContextMode
public;class;ContextRealityModelState
public;enum;ContextRotationId
beta;interface;ContourHit
internal;class;CoordinateConverter
internal;interface;CoordinateConverterOptions
public;enum;CoordinateLockOverrides
public;enum;CoordSource
public;enum;CoordSystem
internal;class;CoreTools
beta;interface;CreateFormattingSpecProps
beta;interface;CreateGraphicFromDescriptionArgs
beta;interface;CreateGraphicFromTemplateArgs
beta;interface;CreateRenderInstancesParamsBuilderArgs
public;interface;CreateRenderMaterialArgs
internal;function;createSpatialTileTreeReferences
public;interface;CreateTextureArgs
public;interface;CreateTextureFromSourceArgs
beta;function;createWorkerProxy
internal;class;CurrentInputState
public;enum;CurrentState
public;interface;CustomFormatPropEditorSpec
public;interface;CustomGraphicBuilderOptions
public;interface;CustomQuantityTypeDefinition
internal;class;DebugShaderFile
public;class;DecorateContext
public;interface;DecorateContextCreateArgs
public;class;Decorations
internal;class;DecorationsCache
public;interface;Decorator
internal;class;DefaultViewTouchTool
beta;class;DefineACSByElementTool
beta;class;DefineACSByPointsTool
internal;function;deflateCoordinates
public;interface;DepthPointOptions
public;enum;DepthPointSource
public;interface;DepthRangeNpc
internal;class;DevTools
public;class;DisclosedTileTreeSet
public;class;DisplayStyle2dState
public;class;DisplayStyle3dState
public;class;DisplayStyleState
public;type;DownloadBriefcaseId
public;type;DownloadBriefcaseOptions
public;interface;DownloadProgressInfo
internal;interface;DrawClipOptions
public;class;DrawingModelState
public;class;DrawingViewState
public;class;DynamicsContext
public;interface;DynamicSpatialClassifier
beta;interface;EditableCatalogConnection
internal;interface;EditCommandHandler
public;namespace;EditManipulator
internal;const;ELEMENT_MARKED_FOR_REMOVAL
public;class;ElementAgenda
public;class;ElementLocateManager
public;class;ElementPicker
public;class;ElementSetTool
public;class;ElementState
public;class;EllipsoidTerrainProvider
public;class;EmphasizeElements
beta;class;EngineeringLengthDescription
public;class;EntityState
internal;class;EnvironmentDecorations
public;class;EventController
public;enum;EventHandled
alpha;interface;ExtensionManifest
alpha;interface;ExtensionProvider
public;interface;ExtentLimits
public;function;extractImageSourceDimensions
internal;function;eyeToCartographicOnGlobe
internal;function;eyeToCartographicOnGlobeFromGcs
internal;interface;FeatureAttributeDrivenSymbology
internal;class;FeatureGeometryBaseRenderer
internal;interface;FeatureGeometryRenderer
internal;class;FeatureGraphicsRenderer
public;interface;FeatureOverrideProvider
internal;interface;FeatureSymbolizedRenderer
public;namespace;FeatureSymbology
alpha;interface;Source
internal;interface;FeatureSymbologyRenderer
public;class;FitViewTool
internal;class;Flags
public;enum;FlashMode
public;class;FlashSettings
public;type;FlashSettingsOptions
public;class;FlyViewTool
internal;function;formatAnimationBranchId
internal;class;FormatsProviderManager
beta;class;FormattedQuantityDescription
beta;interface;FormattedQuantityDescriptionArgs
public;interface;FormatterParserSpecsProvider
beta;interface;FormattingSpecEntry
public;interface;FormattingUnitSystemChangedArgs
internal;interface;FrameBeforeRenderData
internal;interface;FrameCameraFrustumData
internal;interface;FrameCameraViewData
internal;interface;FrameRenderData
alpha;interface;FrameStats
public;interface;FrontendHubAccess
public;enum;FrontendLoggerCategory
public;interface;FrontendSecurityOptions
public;namespace;Frustum2d
public;class;FrustumAnimator
public;class;FuzzySearch
public;interface;FuzzySearchResult
public;class;FuzzySearchResults
beta;interface;GenericAbortSignal
public;class;GeoConverter
internal;interface;GeoConverterOptions
beta;class;GeographicTilingScheme
public;class;GeometricModel2dState
public;class;GeometricModel3dState
public;class;GeometricModelState
public;interface;GeometryTileTreeReference
public;interface;GeometryTileTreeReferenceOptions
public;class;GeoServices
internal;type;GeoServicesOptions
internal;interface;GetAttachmentViewportArgs
public;function;getCenteredViewRect
public;function;getCesiumAssetUrl
public;function;getCompressedJpegFromCanvas
internal;function;getFrustumPlaneIntersectionDepthRange
beta;function;getGoogle3dTilesUrl
public;function;getImageSourceFormatForMimeType
public;function;getImageSourceMimeType
public;interface;GetPixelDataWorldPointArgs
public;function;getQuantityTypeKey
public;interface;GlobalAlignmentOptions
public;interface;GlobalLocation
public;interface;GlobalLocationArea
public;class;GlobeAnimator
internal;enum;GltfDataType
public;interface;GltfGraphic
internal;interface;GltfMeshPrimitive
internal;class;GltfReader
internal;interface;GltfReaderArgs
internal;interface;GltfReaderResult
beta;interface;GltfTemplate
internal;interface;GLTimerResult
beta;class;Google3dTilesProvider
beta;type;Google3dTilesProviderOptions
internal;class;GoogleMapsDecorator
public;type;GpuMemoryLimit
public;interface;GpuMemoryLimits
public;class;GraphicalEditingScope
public;interface;GraphicArc
public;interface;GraphicArc2d
public;class;GraphicAssembler
internal;interface;GraphicAssemblerOptions
public;class;GraphicBranch
public;interface;GraphicBranchOptions
public;class;GraphicBuilder
public;interface;GraphicBuilderOptions
beta;interface;GraphicDescription
beta;namespace;GraphicDescription
beta;interface;GraphicDescriptionBuilder
beta;namespace;GraphicDescriptionBuilder
beta;type;GraphicDescriptionBuilderOptions
beta;interface;GraphicDescriptionContext
beta;interface;GraphicDescriptionContextProps
public;interface;GraphicLineString
public;interface;GraphicLineString2d
public;type;GraphicList
public;interface;GraphicLoop
public;interface;GraphicPath
public;interface;GraphicPointString
public;interface;GraphicPointString2d
public;interface;GraphicPolyface
public;type;GraphicPrimitive
public;interface;GraphicPrimitive2d
internal;interface;GraphicsGeometryRenderer
public;interface;GraphicShape
public;interface;GraphicShape2d
public;interface;GraphicSolidPrimitive
beta;interface;GraphicTemplate
public;enum;GraphicType
internal;interface;GroundPlaneDecorations
public;interface;GroupMark
internal;function;headersIncludeAuthMethod
public;class;HiliteSet
public;class;HitDetail
public;interface;HitDetailProps
public;enum;HitDetailType
public;enum;HitGeomType
public;class;HitList
public;interface;HitListHolder
public;enum;HitParentGeomType
beta;interface;HitPath
public;enum;HitPriority
public;enum;HitSource
public;class;IconSprites
public;class;IdleTool
public;function;imageBitmapFromImageSource
public;function;imageBufferToBase64EncodedPng
public;function;imageBufferToCanvas
public;function;imageBufferToPngDataUrl
public;function;imageElementFromImageSource
public;function;imageElementFromUrl
beta;class;ImageryMapLayerFormat
beta;class;ImageryMapLayerTreeReference
internal;class;ImageryMapTileTree
internal;interface;ImdlDecoder
internal;interface;ImdlReader
internal;namespace;ImdlReader
public;class;IModelApp
public;interface;IModelAppOptions
public;class;IModelConnection
public;namespace;IModelConnection
internal;class;IModelFrameLifecycle
public;interface;IModelIdArg
public;class;IModelRoutingContext
internal;class;IModelTileTree
public;class;InputCollector
public;enum;InputSource
beta;interface;Instance
public;interface;InstancedGraphicParams
public;namespace;InstancedGraphicParams
public;type;InstancedGraphicProps
public;namespace;InstancedGraphicProps
beta;interface;InstanceSymbology
public;class;InteractiveTool
public;class;IntersectDetail
public;class;IpcApp
public;interface;IpcAppOptions
public;const;isCheckboxFormatPropEditorSpec
public;function;isCustomQuantityTypeDefinition
public;const;isTextInputFormatPropEditorSpec
public;const;isTextSelectFormatPropEditorSpec
public;enum;ItemField
beta;interface;ITwinIdArg
public;const;ITWINJS_CORE_VERSION
public;enum;KeyinParseError
internal;enum;KeyinStatus
internal;class;LayerTileTreeHandler
internal;class;LayerTileTreeReferenceHandler
beta;class;LengthDescription
internal;function;linePlaneIntersect
alpha;class;LocalExtensionProvider
alpha;interface;LocalExtensionProviderProps
internal;class;LocalhostIpcApp
internal;interface;LocalHostIpcAppOpts
beta;class;LocalUnitFormatProvider
public;enum;LocateAction
public;enum;LocateFilterStatus
public;class;LocateOptions
public;class;LocateResponse
internal;enum;LockedStates
internal;class;LogoDecoration
public;class;LookAndMoveTool
public;interface;LookAtArgs
public;interface;LookAtOrthoArgs
public;interface;LookAtPerspectiveArgs
public;interface;LookAtUsingLensAngle
public;class;LookViewTool
public;enum;ManipulatorToolEvent
