sep=;
Release Tag;API Item Type;API Item Name
public;class;ArrowTool
public;class;CircleTool
public;class;CloudTool
public;class;DistanceTool
public;class;EditTextTool
public;class;EllipseTool
public;class;Handles
internal;function;initSvgExt
public;class;LineTool
public;class;Markup
public;class;MarkupApp
public;interface;MarkupColor
public;interface;MarkupData
public;class;MarkupSelected
public;interface;MarkupSvgData
public;class;MarkupTool
public;class;ModifyHandle
public;class;PlaceTextTool
public;class;PolygonTool
public;class;RectangleTool
public;class;RedlineTool
public;class;SelectTool
public;class;SketchTool
public;class;SymbolTool
internal;class;Title
public;class;UndoManager
public;interface;WidthAndHeight
