sep=;
Release Tag;API Item Type;API Item Name
beta;enum;BatteryState
beta;interface;CancelRequest
beta;type;DeviceEvents
internal;class;DownloadFailed
beta;interface;DownloadTask
beta;class;MobileApp
beta;interface;MobileAppFunctions
beta;type;MobileAppOpts
internal;class;MobileAuthorizationBackend
beta;type;MobileCancelCallback
beta;type;MobileCompletionCallback
beta;class;MobileDevice
internal;class;MobileFileHandler
beta;class;MobileHost
beta;interface;MobileHostOpts
beta;interface;MobileNotifications
beta;type;MobileProgressCallback
internal;type;MobileRpcChunks
internal;class;MobileRpcConfiguration
internal;interface;MobileRpcGateway
internal;class;MobileRpcManager
internal;class;MobileRpcProtocol
internal;class;MobileRpcRequest
beta;enum;Orientation
internal;enum;RpcMobilePlatform
internal;class;SasUrlExpired
internal;class;UserCancelledError
