sep=;
Release Tag;API Item Type;API Item Name
internal;class;ALong
internal;class;CRSManager
internal;class;Downloader
internal;class;DownloaderXhr
internal;class;OnlineEngine
internal;class;OPCReader
internal;class;OrbitGtAList
internal;class;OrbitGtBlockIndex
internal;class;OrbitGtBounds
internal;interface;OrbitGtComparator
internal;class;OrbitGtCoordinate
internal;class;OrbitGtDataManager
internal;class;OrbitGtFrameData
internal;interface;OrbitGtIProjectToViewForSort
internal;class;OrbitGtIViewRequest
internal;class;OrbitGtLevel
internal;class;OrbitGtLine
internal;class;OrbitGtPointData
internal;class;OrbitGtTileIndex
internal;class;OrbitGtTileLoadSorter
internal;class;OrbitGtTransform
internal;class;OrbitGtViewTree
internal;class;PageCachedFile
internal;class;PointCloudReader
internal;class;PointDataRaw
internal;class;UrlFS
