sep=;
Release Tag;API Item Type;API Item Name
alpha;type;AnyClassItemDifference
beta;type;AnyDiagnostic
alpha;type;AnyEditingError
alpha;type;AnyIdentifier
alpha;type;AnySchemaDifference
alpha;type;AnySchemaEdits
alpha;type;AnySchemaItemDifference
alpha;type;AnySchemaItemPathDifference
alpha;type;AnySchemaItemTypeIdentifier
alpha;class;BaseClassDelta
beta;class;BaseDiagnostic
beta;type;BaseRule
alpha;class;BaseSchemaChange
alpha;class;BaseSchemaChanges
alpha;enum;ChangeType
alpha;class;ClassChanges
beta;class;ClassDiagnostic
alpha;class;ClassId
alpha;interface;ClassPropertyDifference
alpha;enum;ConflictCode
alpha;interface;ConstantDifference
beta;function;createClassDiagnosticClass
beta;function;createCustomAttributeContainerDiagnosticClass
beta;function;createPropertyDiagnosticClass
beta;function;createRelationshipConstraintDiagnosticClass
beta;function;createSchemaDiagnosticClass
beta;function;createSchemaItemDiagnosticClass
alpha;interface;CustomAttributeClassDifference
alpha;class;CustomAttributeContainerChange
alpha;class;CustomAttributeContainerChanges
beta;class;CustomAttributeContainerDiagnostic
alpha;type;CustomAttributeDifference
alpha;class;CustomAttributeId
alpha;interface;CustomAttributePropertyDifference
alpha;interface;CustomAttributeRelationshipConstraintDifference
alpha;interface;CustomAttributeSchemaDifference
alpha;interface;CustomAttributeSchemaItemDifference
beta;enum;DiagnosticCategory
beta;function;diagnosticCategoryToString
beta;const;DiagnosticCodes
beta;const;Diagnostics
beta;enum;DiagnosticType
beta;function;diagnosticTypeToString
alpha;type;DifferenceType
alpha;type;ECClassSchemaItems
alpha;enum;ECEditingStatus
beta;const;ECRuleSet
alpha;class;EntityClassChanges
alpha;interface;EntityClassDifference
alpha;interface;EntityClassMixinDifference
alpha;class;EntityMixinChange
alpha;class;EntityMixinChanges
alpha;class;EnumerationChanges
alpha;interface;EnumerationDifference
alpha;class;EnumeratorChanges
alpha;class;EnumeratorDelta
alpha;interface;EnumeratorDifference
alpha;class;EnumeratorId
alpha;class;EnumeratorMissing
alpha;class;FormatChanges
beta;class;FormatDiagnosticReporter
alpha;interface;FormatDifference
alpha;class;FormatUnitChange
alpha;class;FormatUnitChanges
alpha;function;getSchemaDifferences
alpha;interface;IClassIdentifier
alpha;interface;ICustomAttributeIdentifier
beta;interface;IDiagnostic
beta;interface;IDiagnosticReporter
alpha;interface;InvertedUnitDifference
alpha;interface;IPropertyIdentifier
alpha;interface;IRelationshipConstraintIdentifier
beta;type;IRule
beta;interface;IRuleSet
beta;interface;IRuleSuppressionMap
beta;interface;IRuleSuppressionSet
alpha;interface;ISchemaChange
alpha;interface;ISchemaChanges
alpha;interface;ISchemaComparer
alpha;interface;ISchemaCompareReporter
alpha;interface;ISchemaIdentifier
alpha;interface;ISchemaItemIdentifier
alpha;interface;ISchemaTypeIdentifier
alpha;function;isClassDifference
alpha;function;isClassPropertyDifference
alpha;function;isConstantDifference
alpha;function;isCustomAttributeClassDifference
alpha;function;isCustomAttributeDifference
alpha;function;isEntityClassDifference
alpha;function;isEntityClassMixinDifference
alpha;function;isEnumerationDifference
alpha;function;isEnumeratorDifference
alpha;function;isKindOfQuantityDifference
alpha;function;isMixinClassDifference
alpha;function;isPhenomenonDifference
alpha;function;isPropertyCategoryDifference
alpha;function;isRelationshipClassDifference
alpha;function;isRelationshipConstraintClassDifference
alpha;function;isRelationshipConstraintDifference
alpha;function;isSchemaDifference
alpha;function;isSchemaItemDifference
alpha;function;isSchemaReferenceDifference
alpha;function;isStructClassDifference
alpha;function;isUnitSystemDifference
beta;type;ISuppressionRule
alpha;class;KindOfQuantityChanges
alpha;interface;KindOfQuantityDifference
beta;class;LoggingDiagnosticReporter
alpha;interface;MixinClassDifference
alpha;interface;PhenomenonDifference
alpha;class;PresentationUnitChange
alpha;class;PresentationUnitChanges
alpha;interface;PropertyCategoryDifference
alpha;class;PropertyChanges
beta;class;PropertyDiagnostic
alpha;class;PropertyId
alpha;class;PropertyMissing
alpha;enum;PropertyTypeName
alpha;class;PropertyValueChange
alpha;class;RelationshipClassChanges
alpha;interface;RelationshipClassDifference
alpha;class;RelationshipConstraintChanges
alpha;class;RelationshipConstraintClassChange
alpha;interface;RelationshipConstraintClassDifference
beta;class;RelationshipConstraintDiagnostic
alpha;interface;RelationshipConstraintDifference
alpha;class;RelationshipConstraintId
alpha;interface;RenamePropertyEdit
alpha;interface;RenameSchemaItemEdit
alpha;class;SchemaChanges
beta;const;SchemaCompareCodes
beta;const;SchemaCompareDiagnostics
alpha;enum;SchemaCompareDirection
alpha;class;SchemaComparer
alpha;class;SchemaConflictsError
alpha;class;SchemaContextEditor
beta;class;SchemaDiagnostic
alpha;interface;SchemaDifference
alpha;interface;SchemaDifferenceConflict
alpha;interface;SchemaDifferenceResult
alpha;class;SchemaEditingError
alpha;class;SchemaEdits
alpha;enum;SchemaEditType
alpha;class;SchemaId
alpha;class;SchemaItemChange
alpha;class;SchemaItemChanges
beta;class;SchemaItemDiagnostic
alpha;class;SchemaItemId
alpha;class;SchemaItemMissing
beta;class;SchemaMerger
alpha;enum;SchemaOtherTypes
alpha;class;SchemaReferenceDelta
alpha;interface;SchemaReferenceDifference
alpha;class;SchemaReferenceMissing
alpha;type;SchemaType
alpha;enum;SchemaTypeIdentifiers
beta;class;SchemaValidater
beta;class;SchemaValidationVisitor
internal;class;SchemaWalker
alpha;interface;SkipEdit
alpha;interface;StructClassDifference
beta;class;SuppressionDiagnosticReporter
alpha;interface;UnitDifference
alpha;class;UnitLabelOverrideDelta
alpha;interface;UnitSystemDifference
