sep=;
Release Tag;API Item Type;API Item Name
beta;type;AnyArrayProperty
beta;type;AnyClass
beta;type;AnyClassProps
beta;type;AnyECType
beta;type;AnyEnumerationProperty
beta;type;AnyEnumerator
beta;type;AnyPrimitiveProperty
beta;type;AnyProperty
beta;type;AnyPropertyProps
beta;type;AnySchemaItem
beta;type;AnySchemaItemProps
beta;type;AnyStructProperty
beta;class;ArrayProperty
beta;interface;ArrayPropertyProps
beta;function;classModifierToString
beta;interface;ClassProps
beta;class;Constant
beta;interface;ConstantProps
beta;function;containerTypeToString
beta;interface;CustomAttribute
beta;class;CustomAttributeClass
beta;interface;CustomAttributeClassProps
beta;interface;CustomAttributeContainerProps
beta;enum;CustomAttributeContainerType
beta;class;DelayedPromise
beta;const;DelayedPromiseWithProps
beta;type;DelayedPromiseWithProps
beta;interface;DelayedPromiseWithPropsConstructor
beta;class;ECClass
beta;enum;ECClassModifier
public;class;ECName
internal;class;ECObjectsError
beta;enum;ECObjectsStatus
internal;class;ECStringConstants
beta;class;ECVersion
internal;interface;ECXmlVersion
beta;class;EntityClass
beta;interface;EntityClassProps
beta;class;Enumeration
beta;class;EnumerationArrayProperty
beta;class;EnumerationProperty
beta;interface;EnumerationPropertyProps
beta;interface;EnumerationProps
beta;interface;EnumeratorProps
beta;class;Format
internal;function;getFormatProps
beta;class;InvertedUnit
beta;interface;InvertedUnitProps
beta;interface;ISchemaItemLocater
beta;interface;ISchemaLocater
beta;interface;ISchemaPartVisitor
beta;class;KindOfQuantity
beta;interface;KindOfQuantityProps
beta;type;LazyLoadedConstant
beta;type;LazyLoadedCustomAttributeClass
beta;type;LazyLoadedECClass
beta;type;LazyLoadedEntityClass
beta;type;LazyLoadedEnumeration
beta;type;LazyLoadedFormat
beta;type;LazyLoadedInvertedUnit
beta;type;LazyLoadedKindOfQuantity
beta;type;LazyLoadedMixin
beta;type;LazyLoadedPhenomenon
beta;type;LazyLoadedPropertyCategory
beta;type;LazyLoadedRelationshipClass
beta;type;LazyLoadedRelationshipConstraintClass
beta;type;LazyLoadedSchema
beta;type;LazyLoadedSchemaItem
beta;type;LazyLoadedStructClass
beta;type;LazyLoadedUnit
beta;type;LazyLoadedUnitSystem
beta;class;Mixin
beta;interface;MixinProps
beta;class;NavigationProperty
beta;interface;NavigationPropertyProps
beta;interface;NoDelayedPromiseMethods
beta;class;OverrideFormat
beta;function;parseClassModifier
beta;function;parseCustomAttributeContainerType
beta;function;parsePrimitiveType
beta;function;parseRelationshipEnd
beta;function;parseSchemaItemType
beta;function;parseStrength
beta;function;parseStrengthDirection
beta;class;Phenomenon
beta;interface;PhenomenonProps
beta;class;PrimitiveArrayProperty
beta;interface;PrimitiveArrayPropertyProps
beta;class;PrimitiveOrEnumPropertyBase
beta;interface;PrimitiveOrEnumPropertyBaseProps
beta;class;PrimitiveProperty
beta;interface;PrimitivePropertyProps
beta;enum;PrimitiveType
beta;function;primitiveTypeToString
beta;class;Property
beta;class;PropertyCategory
beta;interface;PropertyCategoryProps
beta;interface;PropertyProps
beta;enum;PropertyType
beta;function;propertyTypeToString
beta;namespace;PropertyTypeUtils
beta;class;RelationshipClass
beta;interface;RelationshipClassProps
beta;class;RelationshipConstraint
beta;interface;RelationshipConstraintProps
beta;enum;RelationshipEnd
beta;function;relationshipEndToString
beta;class;RelationshipMultiplicity
beta;class;Schema
internal;class;SchemaCache
beta;class;SchemaContext
internal;class;SchemaGraph
internal;class;SchemaGraphUtil
beta;interface;SchemaInfo
beta;class;SchemaItem
beta;type;SchemaItemFormatProps
beta;class;SchemaItemKey
beta;interface;SchemaItemOverrideFormatProps
beta;interface;SchemaItemProps
beta;enum;SchemaItemType
beta;function;schemaItemTypeToString
deprecated;function;schemaItemTypeToString
internal;function;schemaItemTypeToXmlString
beta;interface;SchemaItemUnitProps
beta;class;SchemaJsonLocater
beta;class;SchemaKey
beta;interface;SchemaKeyProps
beta;class;SchemaLoader
beta;enum;SchemaMatchType
beta;class;SchemaPartVisitorDelegate
beta;interface;SchemaProps
beta;type;SchemaPropsGetter
internal;class;SchemaReadHelper
beta;interface;SchemaReferenceProps
beta;class;SchemaUnitProvider
internal;class;SchemaWalker
beta;enum;StrengthDirection
beta;function;strengthDirectionToString
beta;function;strengthToString
beta;enum;StrengthType
beta;class;StructArrayProperty
beta;interface;StructArrayPropertyProps
beta;class;StructClass
beta;type;StructClassProps
beta;class;StructProperty
beta;interface;StructPropertyProps
beta;class;Unit
internal;class;UnitConversion
internal;class;UnitConverter
beta;class;UnitSystem
beta;type;UnitSystemProps
beta;interface;WithSchemaKey
internal;class;XmlParser
