sep=;
Release Tag;API Item Type;API Item Name
alpha;type;AllOrAnyOp
alpha;type;AllOrDistinctOp
alpha;class;AssignmentExpr
alpha;class;BetweenExpr
alpha;class;BinaryBooleanExpr
alpha;type;BinaryBooleanOp
alpha;class;BinaryValueExpr
alpha;type;BinaryValueOp
alpha;class;BooleanExpr
alpha;class;CastExpr
alpha;class;ClassNameExpr
alpha;class;ClassRefExpr
alpha;type;CompoundSelectOp
alpha;class;ComputedExpr
alpha;class;CteBlockExpr
alpha;class;CteBlockRefExpr
alpha;class;CteExpr
alpha;class;DeleteStatementExpr
alpha;class;DerivedPropertyExpr
alpha;type;DisqualifyOp
alpha;interface;ECSqlOption
alpha;class;ECSqlOptionsClauseExpr
alpha;type;ECSqlSupportedOptions
alpha;class;ECSqlWriter
alpha;interface;ECSqlWriterArgs
alpha;class;Expr
alpha;class;ExprFactory
alpha;enum;ExprType
alpha;type;FirstOrLast
alpha;class;FromClauseExpr
alpha;class;FuncCallExpr
alpha;class;GroupByClauseExpr
alpha;class;HavingClauseExpr
alpha;class;IIFExpr
alpha;class;InExpr
alpha;class;InsertStatementExpr
alpha;class;IsNullExpr
alpha;class;IsOfTypeExpr
alpha;type;JoinDirection
alpha;type;JoinSpec
alpha;enum;JoinType
alpha;type;Keywords
alpha;class;LikeExpr
alpha;class;LimitClauseExpr
alpha;class;LiteralExpr
alpha;enum;LiteralValueType
alpha;class;MemberFuncCallExpr
alpha;interface;NativeECSqlParseNode
alpha;interface;NativeECSqlParseNodeProvider
alpha;class;NavValueCreationFuncExpr
alpha;interface;NextSelect
alpha;class;NotExpr
alpha;class;OrderByClauseExpr
alpha;class;OrderBySpecExpr
alpha;class;ParameterExpr
alpha;interface;PolymorphicInfo
alpha;class;PropertyNameExpr
alpha;class;QualifiedJoinExpr
alpha;type;RecursiveCte
alpha;class;SearchCaseExpr
alpha;class;SelectExpr
alpha;class;SelectionClauseExpr
alpha;class;SelectStatementExpr
alpha;class;SetClauseExpr
alpha;type;SortDirection
alpha;class;StatementExpr
alpha;class;SubqueryExpr
alpha;class;SubqueryRefExpr
alpha;class;SubqueryTestExpr
alpha;type;SubqueryTestOp
alpha;class;TableValuedFuncExpr
alpha;type;UnaryBooleanOp
alpha;class;UnaryValueExpr
alpha;type;UnaryValueOp
alpha;class;UpdateStatementExpr
alpha;class;UsingRelationshipJoinExpr
alpha;class;ValueExpr
alpha;interface;WhenThenBlock
alpha;class;WhereClauseExp
