sep=;
Release Tag;API Item Type;API Item Name
internal;const;basicManipulationIpc
beta;function;computeChordToleranceFromPoint
beta;function;computeChordToleranceFromRange
beta;class;CreateElementTool
beta;class;CreateElementWithDynamicsTool
beta;class;DynamicGraphicsProvider
beta;namespace;EditTools
beta;class;EditTools
beta;function;makeEditToolIpc
beta;class;ModifyElementTool
beta;class;ModifyElementWithDynamicsTool
beta;class;ProjectExtentsClipDecoration
beta;class;ProjectGeolocationMoveTool
beta;class;ProjectGeolocationNorthTool
beta;class;ProjectGeolocationPointTool
beta;class;ProjectLocationCancelTool
beta;enum;ProjectLocationChanged
beta;class;ProjectLocationHideTool
beta;class;ProjectLocationSaveTool
beta;class;ProjectLocationShowTool
beta;class;RedoTool
beta;class;TransformElementsTool
beta;interface;TransformGraphicsData
beta;class;TransformGraphicsProvider
beta;class;UndoAllTool
beta;class;UndoTool
