sep=;
Release Tag;API Item
beta;class BrowserAuthorizationBase
beta;BrowserAuthorizationCallbackHandler 
beta;BrowserAuthorizationCallbackHandlerConfiguration
beta;BrowserAuthorizationClient 
beta;BrowserAuthorizationClientConfiguration 
internal;BrowserAuthorizationClientRedirectState
public;BrowserAuthorizationClientRequestOptions
beta;BrowserAuthorizationLogger 
beta;FrontendAuthorizationClientLoggerCategory
beta;isBrowserAuthorizationClient: (client: AuthorizationClient | undefined) => client is BrowserAuthorizationClient
beta;OidcCallbackResponseMode
