sep=;
Release Tag;API Item Type;API Item Name
beta;class;AddEffectTool
beta;class;AnimationIntervalTool
alpha;function;appendDataListEntries
beta;class;ApplyRenderingStyleTool
beta;class;ApplyViewByIdTool
beta;class;ApplyViewTool
beta;class;AttachArcGISFeatureMapLayerByUrlTool
beta;class;AttachArcGISMapLayerByUrlTool
beta;class;AttachCesiumAssetTool
beta;class;AttachMapLayerTool
beta;class;AttachMapOverlayTool
beta;class;AttachModelMapLayerTool
beta;class;AttachOgcApiFeaturesMapLayerTool
beta;class;AttachRealityModelTool
beta;class;AttachTileURLMapLayerByUrlTool
beta;class;AttachWmsMapLayerByUrlTool
beta;class;AttachWmtsMapLayerByUrlTool
alpha;interface;Button
alpha;type;ButtonHandler
alpha;interface;ButtonProps
beta;class;ChangeBackgroundColorTool
beta;class;ChangeCameraTool
beta;class;ChangeEmphasisSettingsTool
beta;class;ChangeFlashSettingsTool
beta;class;ChangeHiliteModeTool
beta;class;ChangeHiliteSettingsTool
beta;class;ChangeHiliteTool
beta;class;ChangePlanProjectionSettingsTool
beta;class;ChangeUnitsTool
beta;class;ChangeViewFlagsTool
alpha;interface;CheckBox
alpha;type;CheckBoxHandler
alpha;interface;CheckBoxProps
beta;class;ClearEffectsTool
beta;class;ClearEmphasizedElementsTool
beta;class;ClearIsolatedElementsTool
beta;class;ClearModelAppearanceOverrides
beta;class;ClearRealityModelAppearanceOverrides
beta;class;ClipColorTool
beta;class;ClipIntersectionTool
alpha;interface;ColorInput
alpha;type;ColorInputHandler
alpha;interface;ColorInputProps
alpha;interface;ComboBox
alpha;interface;ComboBoxEntry
alpha;type;ComboBoxHandler
alpha;interface;ComboBoxProps
beta;class;CompileShadersTool
alpha;function;convertHexToRgb
beta;class;ConvolutionEffect
beta;function;copyStringToClipboard
alpha;function;createButton
alpha;function;createCheckBox
alpha;function;createColorInput
alpha;function;createComboBox
alpha;function;createDataList
alpha;function;createLabeledNumericInput
alpha;function;createNestedMenu
alpha;function;createNumericInput
alpha;function;createRadioBox
alpha;function;createSlider
alpha;function;createTextBox
alpha;interface;DataList
