sep=;
Release Tag;API Item Type;API Item Name
public;function;createSectionGraphicsProvider
public;class;HyperModeling
public;interface;HyperModelingConfig
public;class;HyperModelingDecorator
internal;interface;MarkerData
public;class;SectionDrawingLocationState
internal;interface;SectionDrawingLocationStateData
public;interface;SectionGraphicsConfig
public;class;SectionMarker
internal;class;SectionMarkerCluster
public;interface;SectionMarkerConfig
public;class;SectionMarkerHandler
public;class;SectionMarkerSet
public;interface;SectionViewAttachment
