sep=;
Release Tag;API Item
internal;AzureFileHandler 
internal;BufferedStream 
public;ClientsBackendLoggerCategory
internal;IOSAzureFileHandler 
beta;OidcAgentClient 
beta;OidcAgentClientConfiguration = OidcBackendClientConfiguration
internal;OidcAgentClientConfigurationV1 
internal;OidcAgentClientV1 
beta;class OidcBackendClient 
beta;OidcBackendClientConfiguration
beta;OidcDelegationClient 
beta;OidcDelegationClientConfiguration = OidcBackendClientConfiguration
internal;RequestHost
internal;StorageServiceFileHandler 
internal;UrlFileHandler 
