sep=;
Release Tag;API Item
public;AmbientLight
public;AmbientLightProps
public;AmbientOcclusion
alpha;AnalysisStyle
alpha;AnalysisStyleProps
internal;AntiAliasPref
public;AreaFillProps
public;AreaPattern
public;AuxCoordSystem2dProps 
public;AuxCoordSystem3dProps 
public;AuxCoordSystemProps 
public;AxisAlignedBox3d = Range3d
public;AxisAlignedBox3dProps = Range3dProps
internal;B3dmHeader 
public;BackendError 
public;BackgroundFill
public;BackgroundMapProps
public;BackgroundMapProviderName = "BingProvider" | "MapBoxProvider"
public;BackgroundMapSettings
public;BackgroundMapType
alpha;BaseLayerProps = MapLayerProps | ColorDefProps
alpha;BaseLayerSettings = MapLayerSettings | ColorDef
public;BatchType
public;class BentleyCloudRpcConfiguration 
public;BentleyCloudRpcManager 
public;BentleyCloudRpcParams
public;class BentleyCloudRpcProtocol 
public;BisCodeSpec
internal;bisectTileRange2d(range: Range3d, takeUpper: boolean): void
internal;bisectTileRange3d(range: Range3d, takeUpper: boolean): void
internal;BoundingSphere
alpha;BRepCutProps
beta;BRepEntity
alpha;BRepGeometryCreate
alpha;BRepGeometryFunction = (info: BRepGeometryInfo) => void
alpha;BRepGeometryInfo
alpha;BRepGeometryOperation
alpha;BRepHollowProps
public;BRepPrimitive
alpha;BRepRoundProps
alpha;BRepThickenProps
beta;BriefcaseDownloader
beta;BriefcaseProps
internal;BriefcasePushAndPullNotifications
beta;calculateSolarAngles(date: Date, location: Cartographic):
beta;calculateSolarDirection(date: Date, location: Cartographic): Vector3d
beta;calculateSolarDirectionFromAngles(azimuthElevation:
beta;calculateSunriseOrSunset(date: Date, location: Cartographic, sunrise: boolean): Date
public;CalloutProps 
public;Camera 
public;CameraProps
public;Cartographic 
public;CartographicRange
public;CategoryProps 
public;CategorySelectorProps 
internal;ChangeData
internal;ChangedElements
internal;ChangedModels
public;ChangedValueState
public;ChangeOpCode
alpha;ChannelConstraintError 
public;ChannelRootAspectProps 
internal;ClassifierTileTreeId
beta;ClipStyle
beta;ClipStyleProps
beta;class CloudStorageCache
beta;CloudStorageContainerDescriptor
beta;CloudStorageContainerUrl
beta;CloudStorageContainerUrl
beta;CloudStorageProvider
beta;CloudStorageTileCache 
public;Code 
public;CodeProps
public;CodeScopeProps = Id64String | GuidString
public;CodeScopeSpec
public;CodeSpec
public;ColorByName
public;ColorDef
public;ColorDefProps = number
internal;ColorIndex
public;CommonLoggerCategory
internal;compareIModelTileTreeIds(lhs: IModelTileTreeId, rhs: IModelTileTreeId): number
internal;CompositeTileHeader 
internal;computeChildTileProps(parent: TileMetadata, idProvider: ContentIdProvider, root: TileTreeMetadata):
internal;computeTileChordTolerance(tile: TileMetadata, is3d: boolean): number
internal;ContentFlags
internal;class ContentIdProvider
public;ContextRealityModelProps
public;CreateEmptySnapshotIModelProps = CreateIModelProps & CreateSnapshotIModelProps
internal;CreateEmptyStandaloneIModelProps = CreateIModelProps & CreateStandaloneIModelProps
public;CreateIModelProps 
public;CreateSnapshotIModelProps 
internal;CreateStandaloneIModelProps 
internal;CURRENT_INVOCATION: unique symbol
internal;CURRENT_REQUEST: unique symbol
internal;CurrentImdlVersion
beta;CustomAttribute
beta;CutStyle
beta;CutStyleProps
beta;DecorationGeometryProps
alpha;defaultDesktopAuthorizationClientExpiryBuffer: number
internal;defaultTileOptions: TileOptions
public;DefinitionElementProps 
alpha;DeletedElementGeometryChange
alpha;DesktopAuthorizationClientConfiguration
internal;DesktopAuthorizationClientMessages
internal;class DevToolsRpcInterface 
internal;DevToolsStatsOptions
public;DisplayStyle3dProps 
public;DisplayStyle3dSettings 
public;DisplayStyle3dSettingsProps 
public;DisplayStyleLoadProps
beta;DisplayStyleModelAppearanceProps 
beta;DisplayStyleOverridesOptions
public;DisplayStyleProps 
beta;DisplayStyleRealityModelPlanarClipMaskProps 
public;DisplayStyleSettings
public;DisplayStyleSettingsProps
public;DisplayStyleSubCategoryProps 
beta;DomainOptions
internal;DownloadBriefcaseStatus
beta;DPoint2dProps = number[]
beta;Easing:
beta;EasingFunction = (k: number) => number
public;EcefLocation 
public;EcefLocationProps
public;ECJsNames
public;ECSqlSystemProperty
public;ECSqlValueType
internal;EdgeArgs
alpha;class Editor3dRpcInterface 
alpha;Editor3dRpcInterfaceWriteOptions
alpha;Editor3dRpcInterfaceWriteReturnPropsOptions
alpha;Editor3dRpcInterfaceWriteReturnType
public;ElementAlignedBox2d = Range2d
public;ElementAlignedBox3d = Range3d
public;ElementAspectProps 
alpha;ElementGeometry
alpha;ElementGeometryChange = ExtantElementGeometryChange | DeletedElementGeometryChange
alpha;ElementGeometryChange
alpha;ElementGeometryDataEntry
alpha;ElementGeometryFunction = (info: ElementGeometryInfo) => void
alpha;ElementGeometryInfo
alpha;ElementGeometryOpcode
alpha;ElementGeometryRequest
alpha;ElementGeometryUpdate
internal;ElementGraphicsRequestProps
alpha;ElementIdsAndRangesProps
public;ElementLoadProps
public;ElementProps 
alpha;ElementsChanged
beta;EntityMetaData 
beta;EntityMetaDataProps
public;EntityProps
public;EntityQueryParams
public;EnvironmentProps
alpha;ExtantElementGeometryChange
public;ExternalSourceAspectProps 
public;Feature
public;FeatureAppearance 
public;FeatureAppearanceProps
beta;FeatureAppearanceProvider
beta;FeatureAppearanceProvider
public;FeatureAppearanceSource
internal;FeatureGates
internal;FeatureIndex
internal;FeatureIndexType
public;FeatureOverrides 
beta;FeatureTable 
internal;FeatureTableHeader
public;FilePropertyProps
public;FillDisplay
public;FillFlags
public;FontMap
public;FontMapProps
public;FontProps
public;FontType
internal;FormDataCommon
public;Frustum
internal;FrustumPlanes
internal;FrustumPlanes
public;FunctionalElementProps 
internal;GateValue = number | boolean | string | undefined
beta;GeoCoordinatesRequestProps
beta;GeoCoordinatesResponseProps
public;GeoCoordStatus
public;GeometricElement2dProps 
public;GeometricElement3dProps 
public;GeometricElementProps 
public;GeometricModel2dProps 
public;GeometricModel3dProps 
public;GeometricModelProps 
public;GeometryAppearanceProps
public;GeometryClass
beta;GeometryContainmentRequestProps
beta;GeometryContainmentResponseProps
public;GeometryParams
public;GeometryPartInstanceProps
public;GeometryPartProps 
public;GeometryPrimitive
public;GeometryStreamBuilder
public;GeometryStreamEntryProps 
public;GeometryStreamFlags
public;GeometryStreamHeaderProps
public;GeometryStreamIterator 
public;GeometryStreamIteratorEntry
public;GeometryStreamPrimitive = TextStringPrimitive | PartReference | BRepPrimitive | GeometryPrimitive | ImagePrimitive
public;GeometryStreamProps = GeometryStreamEntryProps[]
beta;GeometrySummaryOptions
beta;GeometrySummaryRequestProps
beta;GeometrySummaryVerbosity
internal;getMaximumMajorTileFormatVersion(maxMajorVersion: number, formatVersion?: number): number
public;GlobeMode
internal;GltfBufferData
internal;GltfBufferView
internal;GltfConstants
internal;GltfDataBuffer = Uint8Array | Uint16Array | Uint32Array | Float32Array
internal;GltfDataType
internal;GltfHeader 
internal;GltfMeshMode
internal;GltfV2ChunkTypes
internal;GltfVersions
public;Gradient
public;GraphicParams
public;GridOrientationType
public;GroundPlane
public;GroundPlaneProps
public;HemisphereLights
public;HemisphereLightsProps
public;HiddenLine
public;Hilite
public;HSLColor
public;HSVColor
public;HSVConstants
public;HttpMethod_T = "get" | "put" | "post" | "delete" | "options" | "head" | "patch" | "trace"
public;HttpServerRequest 
public;HttpServerResponse 
internal;I3dmHeader 
public;ImageBuffer
public;ImageBufferFormat
beta;ImageGraphic
beta;ImageGraphicCorners
beta;ImageGraphicCornersProps = [XYZProps, XYZProps, XYZProps, XYZProps]
beta;ImageGraphicProps
public;ImagePrimitive
public;ImageSource
public;ImageSourceFormat
internal;ImdlFlags
internal;ImdlHeader 
public;class IModel 
internal;IModelChangeNotifications
alpha;IModelConnectionProps = IModelProps & IModelRpcProps
beta;IModelCoordinatesRequestProps
beta;IModelCoordinatesResponseProps
public;IModelEncryptionProps
public;IModelError 
public;IModelNotFoundResponse 
public;IModelProps
internal;class IModelReadRpcInterface 
public;IModelRpcOpenProps
public;IModelRpcProps 
public;class IModelTileRpcInterface 
internal;IModelTileTreeId = PrimaryTileTreeId | ClassifierTileTreeId
internal;iModelTileTreeIdToString(modelId: Id64String, treeId: IModelTileTreeId, options: TileOptions): string
internal;IModelTileTreeProps 
public;IModelVersion
public;IModelVersionProps =
internal;class IModelWriteRpcInterface 
public;InformationPartitionElementProps 
internal;initializeRpcRequest: () => void
internal;INSTANCE: unique symbol
beta;InternetConnectivityStatus
beta;Interpolation:
beta;InterpolationFunction = (v: any, k: number) => number
internal;IpcAppChannel
internal;IpcAppFunctions
internal;IpcInvokeReturn =
beta;IpcListener = (evt: Event, ...args: any[]) => void
beta;IpcSocket
beta;IpcSocketBackend 
beta;IpcSocketFrontend 
internal;class IpcWebSocket 
internal;IpcWebSocketBackend 
internal;IpcWebSocketFrontend 
internal;IpcWebSocketMessage
internal;IpcWebSocketMessageType
internal;class IpcWebSocketTransport
internal;isKnownTileFormat(format: number): boolean
public;isPowerOfTwo(num: number): boolean
internal;isValidImageSourceFormat(format: ImageSourceFormat): boolean
beta;iTwinChannel: (channel: string) => string
public;LatAndLong
public;LatLongAndHeight 
internal;LightLocationProps 
public;LightSettings
public;LightSettingsProps
public;LinePixels
public;LineStyle
beta;LineStyleProps 
public;LocalAlignedBox3d = Range3d
beta;LocalBriefcaseProps
alpha;MapImageryProps
alpha;MapImagerySettings
beta;MapLayerKey
alpha;MapLayerProps
alpha;MapLayerSettings
alpha;MapSubLayerProps
alpha;MapSubLayerSettings
public;mapToGeoServiceStatus(s: GeoCoordStatus): GeoServiceStatus
internal;MarshalingBinaryMarker
internal;MarshalingBinaryMarker
beta;MassPropertiesOperation
beta;MassPropertiesRequestProps
beta;MassPropertiesResponseProps
public;MaterialProps
internal;MeshEdge
internal;MeshEdges
internal;MeshPolyline
internal;MeshPolylineList 
alpha;ModelClipGroup
internal;ModelClipGroupProps
alpha;ModelClipGroups
alpha;ModelGeometryChanges
alpha;ModelGeometryChanges
alpha;ModelGeometryChangesProps
public;ModelLoadProps
public;ModelProps 
public;ModelQueryParams 
public;ModelSelectorProps 
public;MonochromeMode
internal;nativeAppChannel = "nativeApp"
internal;NativeAppFunctions
internal;NativeAppNotifications
internal;nativeAppNotify = "nativeApp-notify"
public;NavigationBindingValue
public;NavigationValue
public;nextHighestPowerOfTwo(num: number): number
internal;nextPoint3d64FromByteStream(stream: ByteStream, result?: Point3d): Point3d
public;NoContentError 
internal;NonUniformColor
public;Npc
public;NpcCenter: Point3d
public;NpcCorners: Point3d[]
internal;OctEncodedNormal
internal;OctEncodedNormalPair
internal;OpenAPIContentMap
internal;OpenAPIDocument
internal;OpenAPIEncoding
public;OpenAPIInfo
internal;OpenAPIMediaType
internal;OpenAPIOperation
internal;OpenAPIParameter
internal;OpenAPIPathItem
internal;OpenAPIPaths
internal;OpenAPIRequestBody
internal;OpenAPIResponse
internal;OpenAPIResponses
internal;OpenAPISchema
beta;OpenBriefcaseOptions
beta;OpenBriefcaseProps 
public;OpenDbKey
internal;OPERATION: unique symbol
alpha;OrbitGtBlobProps
beta;OverriddenBy
internal;PackedFeature
internal;PackedFeatureTable
public;PartReference
public;PhysicalElementProps 
public;PhysicalTypeProps 
public;Placement2d 
public;Placement2dProps
public;Placement3d 
public;Placement3dProps
public;PlacementProps = Placement2dProps | Placement3dProps
beta;PlanarClipMaskMode
beta;PlanarClipMaskPriority
beta;PlanarClipMaskProps
beta;PlanarClipMaskSettings
beta;PlanProjectionSettings
beta;PlanProjectionSettingsProps
internal;PntsHeader 
beta;PointWithStatus
internal;POLICY: unique symbol
internal;PolylineData
internal;PolylineEdgeArgs
internal;PolylineFlags
internal;PolylineTypeFlags
internal;PrimaryTileTreeId
beta;PrimitiveTypeCode
beta;ProfileOptions
beta;PropertyCallback = (name: string, meta: PropertyMetaData) => void
beta;PropertyMetaData 
beta;PropertyMetaDataProps
internal;QParams2d
internal;QParams3d
internal;QPoint2d
internal;QPoint2dList
internal;QPoint3d
internal;QPoint3dList
internal;Quantization
public;QueryLimit
public;QueryPriority
public;QueryQuota
public;QueryResponse
public;QueryResponseStatus
public;Rank
internal;ReadableFormData 
internal;readTileContentDescription(stream: ByteStream, sizeMultiplier: number | undefined, is2d: boolean, options: TileOptions, isVolumeClassifier: boolean): TileContentDescription
internal;REGISTRY: unique symbol
public;RelatedElement 
public;RelatedElementProps
public;RelationshipProps 
beta;RemoveFunction = () => void
beta;class RenderMaterial
beta;RenderMaterial
beta;RenderMaterialProps 
public;RenderMode
beta;RenderSchedule
beta;class RenderTexture 
beta;RenderTexture
public;RepositoryLinkProps 
beta;RequestNewBriefcaseProps
public;ResponseLike 
public;RgbColor
public;RgbColorProps
beta;RgbFactorProps = number[]
