sep=;
Release Tag;API Item
beta;AccessToken
beta;AccessTokenProps
beta;AuthorizationClient
public;AuthorizedClientRequestContext 
beta;AuthorizedClientRequestContextProps 
beta;AuthorizedSession 
beta;AuthorizedSessionProps 
beta;CancelRequest
beta;class Client
internal;DefaultRequestOptionsProvider
internal;DownloadFailed 
beta;FileHandler
internal;getArrayBuffer(requestContext: ClientRequestContext, url: string): Promise
internal;getJson(requestContext: ClientRequestContext, url: string): Promise
beta;ImsAuthorizationClient 
beta;IncludePrefix
beta;isAuthorizedClientRequestContext: (requestContext: ClientRequestContext) => requestContext is AuthorizedClientRequestContext
beta;ITwinClientLoggerCategory
beta;ProgressCallback = (progress: ProgressInfo) => void
beta;ProgressInfo
internal;request(requestContext: ClientRequestContext, url: string, options: RequestOptions): Promise
beta;RequestBasicCredentials
beta;RequestGlobalOptions
beta;requestIdHeaderName = "X-Correlation-Id"
beta;RequestOptions
beta;RequestQueryOptions
beta;RequestQueryStringifyOptions
beta;RequestTimeoutOptions
beta;Response
beta;ResponseError 
beta;SasUrlExpired 
internal;TokenPrefix(prefix: string): (constructor: any) => void
internal;UserCancelledError 
beta;UserInfo
beta;UserInfoProps
