sep=;
Release Tag;API Item Type;API Item Name
beta;class;ArcGisAccessClient
beta;interface;ArcGisEnterpriseClientId
internal;interface;ArcGisGenerateTokenOptions
internal;class;ArcGisOAuth2Endpoint
internal;enum;ArcGisOAuth2EndpointType
internal;interface;ArcGisOAuth2Token
beta;interface;ArcGisOAuthClientIds
beta;interface;ArcGisOAuthConfig
internal;interface;ArcGisToken
internal;enum;ArcGisTokenClientType
internal;class;ArcGisTokenGenerator
internal;class;ArcGisTokenManager
internal;class;ArcGisUrl
