sep=;
Release Tag;API Item Type;API Item Name
public;function;addFieldHierarchy
public;class;ArrayPropertiesField
public;interface;ArrayPropertiesFieldJSON
public;interface;ArrayTypeDescription
internal;class;AsyncTasksTracker
public;interface;BaseFieldJSON
public;interface;BaseNodeKey
public;interface;BaseNodeKeyJSON
deprecated;interface;BaseNodeKeyJSON
public;interface;BaseTypeDescription
public;interface;BooleanRulesetVariable
public;interface;BooleanRulesetVariableJSON
deprecated;interface;BooleanRulesetVariableJSON
internal;const;buildElementProperties
public;interface;CalculatedPropertiesSpecification
public;interface;CategoryDescription
public;namespace;CategoryDescription
public;interface;CategoryDescriptionJSON
public;type;CategoryIdentifier
public;interface;CheckBoxRule
deprecated;interface;CheckBoxRule
public;interface;ChildNodeRule
public;type;ChildNodeSpecification
public;interface;ChildNodeSpecificationBase
public;enum;ChildNodeSpecificationTypes
public;interface;ClassGroup
public;type;ClassId
public;interface;ClassInfo
public;namespace;ClassInfo
public;interface;ClassInfoJSON
deprecated;interface;ClassInfoJSON
public;interface;ClientDiagnostics
public;interface;ClientDiagnosticsAttribute
public;type;ClientDiagnosticsHandler
public;interface;ClientDiagnosticsOptions
internal;function;combineDiagnosticsSeverities
public;function;combineFieldNames
internal;interface;CommonIpcParams
internal;function;compareDiagnosticsSeverities
public;interface;CompressedClassInfoJSON
public;type;ComputeDisplayValueCallback
public;interface;ComputeSelectionRequestOptions
public;type;ComputeSelectionRpcRequestOptions
public;interface;ConditionContainer
deprecated;interface;ConditionContainer
public;class;Content
public;interface;ContentDescriptorRequestOptions
public;type;ContentDescriptorRpcRequestOptions
public;enum;ContentFlags
internal;class;ContentFormatter
public;interface;ContentInstanceKeysRequestOptions
public;type;ContentInstanceKeysRpcRequestOptions
public;interface;ContentInstancesOfSpecificClassesSpecification
public;interface;ContentJSON
public;interface;ContentModifier
public;interface;ContentModifiersList
internal;class;ContentPropertyValueFormatter
public;interface;ContentRelatedInstancesSpecification
public;interface;ContentRequestOptions
public;type;ContentRpcRequestOptions
public;interface;ContentRule
public;interface;ContentSourcesRequestOptions
public;type;ContentSourcesRpcRequestOptions
public;interface;ContentSourcesRpcResult
public;type;ContentSpecification
public;interface;ContentSpecificationBase
public;enum;ContentSpecificationTypes
public;type;ContentUpdateInfo
public;function;createFieldHierarchies
public;type;CustomizationRule
public;interface;CustomNodeSpecification
public;interface;CustomQueryInstanceNodesSpecification
public;interface;CustomRendererSpecification
public;const;DEFAULT_KEYS_BATCH_SIZE
public;enum;DefaultContentDisplayTypes
public;interface;DefaultGroupingPropertiesContainer
public;interface;DefaultPropertyCategoryOverride
public;class;Descriptor
public;interface;DescriptorJSON
public;interface;DescriptorOverrides
public;interface;DescriptorSource
public;interface;Diagnostics
public;type;DiagnosticsLogEntry
public;namespace;DiagnosticsLogEntry
public;type;DiagnosticsLoggerSeverity
public;interface;DiagnosticsLogMessage
public;interface;DiagnosticsOptions
public;interface;DiagnosticsScopeLogs
public;interface;DisabledSortingRule
public;interface;DisplayLabelRequestOptions
public;type;DisplayLabelRpcRequestOptions
public;interface;DisplayLabelsRequestOptions
public;type;DisplayLabelsRpcRequestOptions
public;type;DisplayValue
public;namespace;DisplayValue
public;interface;DisplayValueGroup
public;namespace;DisplayValueGroup
public;interface;DisplayValueGroupJSON
deprecated;interface;DisplayValueGroupJSON
public;type;DisplayValueJSON
deprecated;type;DisplayValueJSON
public;interface;DisplayValuesArray
public;interface;DisplayValuesArrayJSON
deprecated;interface;DisplayValuesArrayJSON
public;interface;DisplayValuesMap
public;interface;DisplayValuesMapJSON
deprecated;interface;DisplayValuesMapJSON
public;interface;DistinctValuesRequestOptions
public;type;DistinctValuesRpcRequestOptions
public;interface;ECClassGroupingNodeKey
public;interface;ECClassGroupingNodeKeyJSON
deprecated;interface;ECClassGroupingNodeKeyJSON
public;interface;ECInstancesNodeKey
public;interface;ECInstancesNodeKeyJSON
deprecated;interface;ECInstancesNodeKeyJSON
public;interface;ECPropertyGroupingNodeKey
public;interface;ECPropertyGroupingNodeKeyJSON
deprecated;interface;ECPropertyGroupingNodeKeyJSON
public;interface;ECPropertyValueQuerySpecification
public;interface;ECValueBinding
public;interface;ECValueSetBinding
public;interface;EditorDescription
public;interface;ElementProperties
public;type;ElementPropertiesArrayPropertyItem
public;interface;ElementPropertiesArrayPropertyItemBase
public;interface;ElementPropertiesCategoryItem
public;type;ElementPropertiesItem
public;interface;ElementPropertiesItemBase
public;interface;ElementPropertiesPrimitiveArrayPropertyItem
public;interface;ElementPropertiesPrimitivePropertyItem
public;type;ElementPropertiesPropertyItem
public;interface;ElementPropertiesPropertyItemBase
public;type;ElementPropertiesPropertyValueType
public;type;ElementPropertiesRequestOptions
deprecated;type;ElementPropertiesRequestOptions
public;interface;ElementPropertiesStructArrayPropertyItem
public;interface;ElementPropertiesStructPropertyItem
public;interface;ElementSelectionScopeProps
public;interface;EnumerationChoice
public;interface;EnumerationInfo
public;interface;ExtendedDataRule
public;class;Field
internal;const;FIELD_NAMES_SEPARATOR
public;type;FieldDescriptor
public;namespace;FieldDescriptor
public;interface;FieldDescriptorBase
public;enum;FieldDescriptorType
public;interface;FieldHierarchy
public;type;FieldJSON
public;interface;FilterByInstancePathsHierarchyRequestOptions
public;type;FilterByInstancePathsHierarchyRpcRequestOptions
public;interface;FilterByTextHierarchyRequestOptions
public;type;FilterByTextHierarchyRpcRequestOptions
public;interface;FormatOptions
public;interface;FormatsMap
internal;const;getFieldByDescriptor
internal;const;getFieldByName
public;const;getInstancesCount
public;interface;GroupingNodeKey
public;interface;GroupingNodeKeyJSON
deprecated;interface;GroupingNodeKeyJSON
public;interface;GroupingRule
public;type;GroupingSpecification
public;interface;GroupingSpecificationBase
public;enum;GroupingSpecificationTypes
public;interface;HierarchyCompareInfo
public;namespace;HierarchyCompareInfo
public;interface;HierarchyCompareInfoJSON
deprecated;interface;HierarchyCompareInfoJSON
public;interface;HierarchyCompareOptions
public;interface;HierarchyLevel
public;namespace;HierarchyLevel
beta;function;fromJSON
deprecated;function;fromJSON
public;interface;HierarchyLevelDescriptorRequestOptions
public;type;HierarchyLevelDescriptorRpcRequestOptions
beta;interface;HierarchyLevelJSON
deprecated;interface;HierarchyLevelJSON
public;interface;HierarchyRequestOptions
public;type;HierarchyRpcRequestOptions
public;type;HierarchyUpdateInfo
public;interface;IContentVisitor
public;interface;Id64RulesetVariable
public;interface;Id64RulesetVariableJSON
deprecated;interface;Id64RulesetVariableJSON
public;interface;Id64sRulesetVariable
public;interface;Id64sRulesetVariableJSON
public;interface;IdBinding
public;interface;IdCategoryIdentifier
public;interface;IdSetBinding
public;interface;ImageIdOverride
deprecated;interface;ImageIdOverride
public;interface;InstanceFilterDefinition
public;type;InstanceFilterRelatedInstanceDefinition
public;interface;InstanceFilterRelatedInstancePath
public;interface;InstanceFilterRelatedInstanceRelationshipAlias
public;interface;InstanceFilterRelatedInstanceTargetAlias
public;type;InstanceId
public;interface;InstanceKey
public;namespace;InstanceKey
public;interface;InstanceKeyJSON
deprecated;interface;InstanceKeyJSON
public;interface;InstanceLabelOverride
public;interface;InstanceLabelOverrideBriefcaseIdSpecification
public;interface;InstanceLabelOverrideClassLabelSpecification
public;interface;InstanceLabelOverrideClassNameSpecification
public;interface;InstanceLabelOverrideCompositeValueSpecification
public;interface;InstanceLabelOverrideLocalIdSpecification
public;interface;InstanceLabelOverridePropertyValueSpecification
public;interface;InstanceLabelOverrideRelatedInstanceLabelSpecification
public;interface;InstanceLabelOverrideStringValueSpecification
public;type;InstanceLabelOverrideValueSpecification
public;interface;InstanceLabelOverrideValueSpecificationBase
public;enum;InstanceLabelOverrideValueSpecificationType
public;interface;InstanceNodesOfSpecificClassesSpecification
public;interface;IntRulesetVariable
public;interface;IntRulesetVariableJSON
deprecated;interface;IntRulesetVariableJSON
public;interface;IntsRulesetVariable
public;interface;IntsRulesetVariableJSON
deprecated;interface;IntsRulesetVariableJSON
internal;function;isComputeSelectionRequestOptions
internal;function;isSingleElementPropertiesRequestOptions
public;class;Item
public;interface;ItemJSON
public;type;Key
public;namespace;Key
public;type;Keys
public;class;KeySet
public;interface;KeySetJSON
public;interface;KindOfQuantityInfo
public;class;KoqPropertyValueFormatter
public;interface;LabelCompositeValue
public;namespace;LabelCompositeValue
public;interface;LabelCompositeValueJSON
deprecated;interface;LabelCompositeValueJSON
public;interface;LabelDefinition
public;namespace;LabelDefinition
public;interface;LabelDefinitionJSON
deprecated;interface;LabelDefinitionJSON
public;interface;LabelGroupingNodeKey
public;interface;LabelGroupingNodeKeyJSON
deprecated;interface;LabelGroupingNodeKeyJSON
public;interface;LabelOverride
deprecated;interface;LabelOverride
public;type;LabelRawValue
public;type;LabelRawValueJSON
deprecated;type;LabelRawValueJSON
internal;class;LocalizationHelper
internal;interface;LocalizationHelperProps
public;interface;MultiElementPropertiesRequestOptions
public;interface;MultiSchemaClassesSpecification
public;interface;NamedFieldDescriptor
public;interface;NavigationPropertyInfo
public;namespace;NavigationPropertyInfo
public;interface;NavigationPropertyInfoJSON
public;interface;NavigationPropertyValue
public;type;NavigationRule
public;interface;NavigationRuleBase
public;class;NestedContentField
public;interface;NestedContentFieldJSON
public;interface;NestedContentValue
public;namespace;NestedContentValue
public;interface;NestedContentValueJSON
deprecated;interface;NestedContentValueJSON
public;interface;NoCategoryIdentifier
public;interface;NodeArtifactsRule
public;interface;NodeDeletionInfo
public;interface;NodeDeletionInfoJSON
deprecated;interface;NodeDeletionInfoJSON
public;interface;NodeInsertionInfo
public;interface;NodeInsertionInfoJSON
deprecated;interface;NodeInsertionInfoJSON
public;interface;NodeJSON
deprecated;interface;NodeJSON
public;type;NodeKey
public;namespace;NodeKey
public;type;NodeKeyJSON
deprecated;type;NodeKeyJSON
public;type;NodeKeyPath
public;interface;NodePathElement
public;namespace;NodePathElement
internal;function;listFromJSON
internal;function;listReviver
internal;function;reviver
public;interface;NodePathElementJSON
deprecated;interface;NodePathElementJSON
public;interface;NodePathFilteringData
public;namespace;NodePathFilteringData
public;interface;NodePathFilteringDataJSON
deprecated;interface;NodePathFilteringDataJSON
public;interface;NodeUpdateInfo
public;interface;NodeUpdateInfoJSON
deprecated;interface;NodeUpdateInfoJSON
public;type;Paged
public;interface;PagedResponse
public;interface;PageOptions
public;interface;ParentCategoryIdentifier
public;function;parseCombinedFieldNames
public;type;PartialBy
public;type;PartialHierarchyModification
public;namespace;PartialHierarchyModification
public;type;PartialHierarchyModificationJSON
deprecated;type;PartialHierarchyModificationJSON
public;type;PartialNode
public;type;PartialNodeJSON
deprecated;type;PartialNodeJSON
internal;const;PRESENTATION_IPC_CHANNEL_NAME
public;class;PresentationError
internal;enum;PresentationIpcEvents
internal;interface;PresentationIpcInterface
public;interface;PresentationQuery
public;type;PresentationQueryBinding
public;class;PresentationRpcInterface
public;type;PresentationRpcRequestOptions
public;type;PresentationRpcResponse
public;interface;PresentationRpcResponseData
public;enum;PresentationStatus
public;type;PrimitivePropertyValue
public;interface;PrimitiveTypeDescription
public;type;Prioritized
public;interface;ProcessFieldHierarchiesProps
public;interface;ProcessMergedValueProps
public;interface;ProcessPrimitiveValueProps
public;class;PropertiesField
public;interface;PropertiesFieldDescriptor
public;interface;PropertiesFieldJSON
public;interface;Property
public;namespace;Property
public;interface;PropertyAccessor
public;type;PropertyAccessorPath
public;interface;PropertyCategorySpecification
public;interface;PropertyEditorJsonParameters
public;interface;PropertyEditorMultilineParameters
public;type;PropertyEditorParameters
public;interface;PropertyEditorParametersBase
public;enum;PropertyEditorParameterTypes
public;interface;PropertyEditorRangeParameters
public;interface;PropertyEditorSliderParameters
public;interface;PropertyEditorSpecification
public;interface;PropertyGroup
public;enum;PropertyGroupingValue
deprecated;enum;PropertyGroupingValue
public;interface;PropertyInfo
public;namespace;PropertyInfo
public;interface;PropertyInfoJSON
public;interface;PropertyJSON
public;interface;PropertyOverrides
public;interface;PropertyRangeGroupSpecification
public;interface;PropertySortingRule
public;interface;PropertySpecification
public;enum;PropertyValueFormat
public;type;QuerySpecification
public;interface;QuerySpecificationBase
public;enum;QuerySpecificationTypes
public;class;RegisteredRuleset
public;interface;RelatedClassInfo
public;namespace;RelatedClassInfo
public;interface;RelatedClassInfoJSON
public;type;RelatedClassInfoWithOptionalRelationship
public;namespace;RelatedClassInfoWithOptionalRelationship
public;type;RelatedClassInfoWithOptionalRelationshipJSON
public;interface;RelatedInstanceByPathSpecification
public;interface;RelatedInstanceByTargetInstancesSpecification
public;interface;RelatedInstanceNodesSpecification
public;type;RelatedInstanceSpecification
public;interface;RelatedInstanceSpecificationBase
public;enum;RelatedPropertiesSpecialValues
public;interface;RelatedPropertiesSpecification
public;enum;RelationshipDirection
public;enum;RelationshipMeaning
public;type;RelationshipPath
public;namespace;RelationshipPath
public;type;RelationshipPathJSON
public;type;RelationshipPathSpecification
public;interface;RelationshipStepSpecification
public;interface;RendererDescription
public;type;RepeatableRelationshipPathSpecification
public;interface;RepeatableRelationshipStepSpecification
public;interface;RequestOptions
public;interface;RequestOptionsWithRuleset
public;interface;RequiredSchemaSpecification
public;interface;RootCategoryIdentifier
public;interface;RootNodeRule
public;type;RpcDiagnosticsOptions
internal;class;RpcRequestsHandler
internal;interface;RpcRequestsHandlerProps
public;type;Rule
public;interface;RuleBase
public;interface;Ruleset
public;class;RulesetsFactory
public;type;RulesetVariable
public;namespace;RulesetVariable
public;interface;RulesetVariableBase
public;interface;RulesetVariableBaseJSON
public;type;RulesetVariableJSON
public;enum;RuleTypes
public;interface;SameLabelInstanceGroup
public;enum;SameLabelInstanceGroupApplicationStage
public;interface;SchemaCategoryIdentifier
public;interface;SchemasSpecification
public;interface;SelectClassInfo
public;namespace;SelectClassInfo
internal;function;listFromCompressedJSON
public;interface;SelectClassInfoJSON
public;interface;SelectedNodeInstancesSpecification
public;interface;SelectionInfo
public;interface;SelectionScope
public;type;SelectionScopeProps
public;interface;SelectionScopeRequestOptions
public;type;SelectionScopeRpcRequestOptions
internal;interface;SetRulesetVariableParams
public;interface;SingleElementPropertiesRequestOptions
public;type;SingleElementPropertiesRpcRequestOptions
public;interface;SingleSchemaClassSpecification
public;enum;SortDirection
public;type;SortingRule
public;interface;SortingRuleBase
public;enum;StandardNodeTypes
public;interface;StartArrayProps
public;interface;StartCategoryProps
public;interface;StartContentProps
public;interface;StartFieldProps
public;interface;StartItemProps
public;interface;StartStructProps
public;interface;StringQuerySpecification
public;interface;StringRulesetVariable
public;interface;StringRulesetVariableJSON
deprecated;interface;StringRulesetVariableJSON
public;interface;StrippedRelatedClassInfo
public;type;StrippedRelationshipPath
public;interface;StructFieldMemberDescription
public;class;StructPropertiesField
public;interface;StructPropertiesFieldJSON
public;interface;StructTypeDescription
public;interface;StyleOverride
deprecated;interface;StyleOverride
public;interface;SubCondition
public;type;Subtract
public;interface;SupplementationInfo
public;function;traverseContent
public;function;traverseContentItem
public;function;traverseFieldHierarchy
public;type;TypeDescription
public;interface;UnitSystemFormat
internal;interface;UnsetRulesetVariableParams
public;const;UPDATE_FULL
public;interface;UpdateInfo
public;type;Value
public;namespace;Value
public;type;ValueJSON
deprecated;type;ValueJSON
public;interface;ValuesArray
public;interface;ValuesArrayJSON
deprecated;interface;ValuesArrayJSON
public;interface;ValuesDictionary
public;interface;ValuesMap
public;interface;ValuesMapJSON
deprecated;interface;ValuesMapJSON
public;interface;Variable
public;interface;VariablesGroup
public;type;VariableValue
public;type;VariableValueJSON
public;enum;VariableValueType
public;enum;VariableValueTypes
public;type;WithCancelEvent
