sep=;
Release Tag;API Item
beta;AbstractActionItemProps 
beta;AbstractMenuItemProps 
public;AbstractStatusBarActionItem 
public;AbstractStatusBarCustomItem 
public;AbstractStatusBarItem 
public;AbstractStatusBarItemUtilities
public;AbstractStatusBarLabelItem 
beta;AbstractToolbarProps
public;AbstractWidgetProps 
alpha;AccuDrawField
alpha;AccuDrawGrabInputFocusEvent 
alpha;AccuDrawMode
alpha;AccuDrawSetFieldFocusEvent 
alpha;AccuDrawSetFieldFocusEventArgs
alpha;AccuDrawSetFieldLockEvent 
alpha;AccuDrawSetFieldLockEventArgs
alpha;AccuDrawSetFieldValueFromUiEvent 
alpha;AccuDrawSetFieldValueFromUiEventArgs
alpha;AccuDrawSetFieldValueToUiEvent 
alpha;AccuDrawSetFieldValueToUiEventArgs
alpha;AccuDrawSetModeEvent 
alpha;AccuDrawSetModeEventArgs
alpha;AccuDrawUiAdmin
public;ActionButton 
beta;AlternateDateFormats
beta;ArrayValue 
public;BackstageActionItem 
public;BackstageItem = BackstageActionItem | BackstageStageLauncher
internal;BackstageItemsChangedArgs
internal;BackstageItemsManager
public;BackstageItemType
public;BackstageItemUtilities
public;BackstageStageLauncher 
public;BadgeType
beta;BaseDialogItem
beta;BasePropertyEditorParams
beta;BasePropertyValue
beta;class BaseQuantityDescription 
beta;ButtonGroupEditorParams 
internal;enum CharCode
beta;ColorEditorParams 
beta;CommandHandler
public;CommonBackstageItem 
beta;CommonItemProps
public;CommonStatusBarItem = AbstractStatusBarActionItem | AbstractStatusBarLabelItem | AbstractStatusBarCustomItem
public;CommonToolbarItem = ActionButton | GroupButton | CustomButtonDefinition
public;ConditionalBooleanValue
public;ConditionalStringValue
internal;convertSimple2RegExpPattern(pattern: string): string
internal;createMatches(score: undefined | FuzzyScore): IMatch[]
public;CustomButtonDefinition 
beta;CustomFormattedNumberParams 
beta;DateFormatter
public;DialogButtonDef
public;DialogButtonStyle
public;DialogButtonType
beta;DialogItem 
beta;DialogItemValue
beta;class DialogLayoutDataProvider 
beta;DialogProperty
beta;DialogPropertyItem
beta;DialogPropertySyncItem 
beta;DialogProps
beta;DialogRow
beta;EditorPosition
beta;EnumerationChoice
beta;EnumerationChoicesInfo
internal;equalsIgnoreCase(a: string, b: string): boolean
public;FunctionKey
internal;FuzzyScore = [number, number, number]
internal;FuzzyScore
internal;fuzzyScore(pattern: string, patternLow: string, patternStart: number, word: string, wordLow: string, wordStart: number, firstMatchCanBeWeak: boolean): FuzzyScore | undefined
internal;fuzzyScoreGraceful(pattern: string, lowPattern: string, patternPos: number, word: string, lowWord: string, wordPos: number, firstMatchCanBeWeak: boolean): FuzzyScore | undefined
internal;fuzzyScoreGracefulAggressive(pattern: string, lowPattern: string, patternPos: number, word: string, lowWord: string, wordPos: number, firstMatchCanBeWeak: boolean): FuzzyScore | undefined
internal;FuzzyScorer = (pattern: string, lowPattern: string, patternPos: number, word: string, lowWord: string, wordPos: number, firstMatchCanBeWeak: boolean) => FuzzyScore | undefined
beta;GenericUiEvent 
beta;GenericUiEventArgs
internal;getClassName: (obj: any) => string
public;GroupButton 
beta;IconDefinition
beta;IconEditorParams 
beta;IconListEditorParams 
beta;IconSpecUtilities
internal;IFilter = (word: string, wordToMatchAgainst: string) => IMatch[] | null
beta;ImageCheckBoxParams 
public;IMatch
beta;InputEditorSizeParams 
public;isAbstractStatusBarActionItem: (item: CommonStatusBarItem) => item is AbstractStatusBarActionItem
public;isAbstractStatusBarCustomItem: (item: CommonStatusBarItem) => item is AbstractStatusBarCustomItem
public;isAbstractStatusBarLabelItem: (item: CommonStatusBarItem) => item is AbstractStatusBarLabelItem
public;isActionItem: (item: BackstageItem) => item is BackstageActionItem
public;isArrowKey(key: string): boolean
beta;isButtonGroupEditorParams: (item: BasePropertyEditorParams) => item is ButtonGroupEditorParams
beta;isColorEditorParams: (item: BasePropertyEditorParams) => item is ColorEditorParams
beta;isCustomFormattedNumberParams: (item: BasePropertyEditorParams) => item is CustomFormattedNumberParams
beta;isIconListEditorParams: (item: BasePropertyEditorParams) => item is IconListEditorParams
beta;isInputEditorSizeParams: (item: BasePropertyEditorParams) => item is InputEditorSizeParams
alpha;isLetter(char: string): boolean
internal;isLowerAsciiLetter(code: number): boolean
internal;isPatternInWord(patternLow: string, patternPos: number, patternLen: number, wordLow: string, wordPos: number, wordLen: number): boolean
public;isStageLauncher: (item: BackstageItem) => item is BackstageStageLauncher
beta;isSuppressLabelEditorParams: (item: BasePropertyEditorParams) => item is SuppressLabelEditorParams
internal;isUpperAsciiLetter(code: number): boolean
beta;LinkElementsInfo
internal;matchesCamelCase(word: string, camelCaseWord: string): IMatch[] | null
internal;matchesContiguousSubString(word: string, wordToMatchAgainst: string): IMatch[] | null
internal;matchesFuzzy(word: string, wordToMatchAgainst: string, enableSeparateSubstringMatching?: boolean): IMatch[] | null
internal;matchesFuzzy2(pattern: string, word: string): IMatch[] | null
internal;matchesPrefix: IFilter
internal;matchesStrictPrefix: IFilter
internal;matchesSubString(word: string, wordToMatchAgainst: string): IMatch[] | null
internal;matchesWords(word: string, target: string, contiguous?: boolean): IMatch[] | null
beta;MultilineTextEditorParams 
beta;OnCancelFunc = () => void
beta;OnItemExecutedFunc = (item: any) => void
beta;OnNumberCommitFunc = (value: number) => void
beta;OnValueCommitFunc = (value: Primitives.Value) => void
internal;or(...filter: IFilter[]): IFilter
beta;ParseResults
beta;Primitives
beta;PrimitiveValue 
beta;PropertyChangeResult
beta;PropertyChangeStatus
beta;PropertyConverterInfo
beta;PropertyDescription
beta;PropertyDescriptionHelper
beta;PropertyEditorInfo
beta;PropertyEditorParams = BasePropertyEditorParams
beta;PropertyEditorParamTypes
beta;PropertyRecord
beta;PropertyRendererInfo
beta;PropertyValue = PrimitiveValue | StructValue | ArrayValue
beta;PropertyValueFormat
public;ProvidedItem
beta;RangeEditorParams 
public;RelativePosition
beta;SliderEditorParams 
public;SpecialKey
public;StagePanelLocation
public;StagePanelSection
beta;StageUsage
beta;StandardEditorNames
beta;StandardTypeNames
internal;startsWithIgnoreCase(str: string, candidate: string): boolean
public;StatusBarItemId = CommonStatusBarItem["id"]
internal;StatusBarItemsChangedArgs
internal;StatusBarItemsManager
public;StatusBarLabelSide
public;StatusBarSection
beta;StringGetter = () => string
beta;StructValue 
beta;SuppressLabelEditorParams 
beta;SyncPropertiesChangeEvent 
beta;SyncPropertiesChangeEventArgs
beta;TimeDisplay
public;ToolbarItem 
public;ToolbarItemId = CommonToolbarItem["id"]
internal;ToolbarItemsChangedArgs
internal;ToolbarItemsManager
public;ToolbarItemUtilities
public;ToolbarOrientation
public;ToolbarUsage
public;UiAbstract
beta;UiAdmin
beta;class UiDataProvider
public;UiError 
beta;UiFlags
public;UiItemProviderRegisteredEventArgs
beta;UiItemsApplication
public;UiItemsApplicationAction
beta;UiItemsArbiter
public;UiItemsManager
public;UiItemsProvider
beta;class UiLayoutDataProvider 
public;WidgetState
